=== ala@alakazam5 vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 0 seat0: winner=1 turns=12 selects=201
  match 0 seat1: winner=0 turns=13 selects=192
  match 1 seat0: winner=1 turns=12 selects=197
  match 1 seat1: winner=0 turns=9 selects=143
  match 2 seat0: winner=0 turns=13 selects=210
  match 2 seat1: winner=0 turns=9 selects=156
  match 3 seat0: winner=1 turns=14 selects=241
  match 3 seat1: winner=1 turns=14 selects=172
  match 4 seat0: winner=0 turns=13 selects=122
  match 4 seat1: winner=1 turns=16 selects=142
  match 5 seat0: winner=1 turns=14 selects=193
  match 5 seat1: winner=1 turns=10 selects=173
  match 6 seat0: winner=1 turns=14 selects=182
  match 6 seat1: winner=1 turns=12 selects=189
  match 7 seat0: winner=0 turns=13 selects=175
  match 7 seat1: winner=0 turns=9 selects=150
  match 8 seat0: winner=0 turns=9 selects=138
  match 8 seat1: winner=1 turns=14 selects=196
  match 9 seat0: winner=0 turns=13 selects=152
  match 9 seat1: winner=0 turns=11 selects=212
  match 10 seat0: winner=0 turns=13 selects=101
  match 10 seat1: winner=0 turns=11 selects=167
  match 11 seat0: winner=1 turns=12 selects=196
  match 11 seat1: winner=1 turns=16 selects=120
  match 12 seat0: winner=1 turns=12 selects=188
  match 12 seat1: winner=0 turns=9 selects=170
  match 13 seat0: winner=1 turns=10 selects=169
  match 13 seat1: winner=0 turns=15 selects=149
  match 14 seat0: winner=1 turns=12 selects=179
  match 14 seat1: winner=0 turns=15 selects=182
  match 15 seat0: winner=0 turns=13 selects=205
  match 15 seat1: winner=0 turns=15 selects=216
  match 16 seat0: winner=1 turns=12 selects=204
  match 16 seat1: winner=1 turns=12 selects=179
  match 17 seat0: winner=1 turns=14 selects=210
  match 17 seat1: winner=1 turns=14 selects=144
  match 18 seat0: winner=1 turns=14 selects=198
  match 18 seat1: winner=0 turns=11 selects=158
  match 19 seat0: winner=0 turns=15 selects=164
  match 19 seat1: winner=0 turns=21 selects=248
  match 20 seat0: winner=1 turns=12 selects=163
  match 20 seat1: winner=0 turns=9 selects=115
  match 21 seat0: winner=0 turns=13 selects=237
  match 21 seat1: winner=0 turns=15 selects=218
  match 22 seat0: winner=1 turns=12 selects=197
  match 22 seat1: winner=0 turns=11 selects=191
  match 23 seat0: winner=0 turns=11 selects=101
  match 23 seat1: winner=0 turns=9 selects=145
  match 24 seat0: winner=0 turns=13 selects=177
  match 24 seat1: winner=0 turns=11 selects=189
  match 25 seat0: winner=1 turns=20 selects=256
  match 25 seat1: winner=0 turns=15 selects=172
  match 26 seat0: winner=0 turns=13 selects=112
  match 26 seat1: winner=0 turns=11 selects=176
  match 27 seat0: winner=1 turns=12 selects=156
  match 27 seat1: winner=0 turns=9 selects=175
  match 28 seat0: winner=1 turns=12 selects=195
  match 28 seat1: winner=0 turns=11 selects=191
  match 29 seat0: winner=0 turns=9 selects=115
  match 29 seat1: winner=0 turns=11 selects=156
  match 30 seat0: winner=1 turns=6 selects=56
  match 30 seat1: winner=0 turns=13 selects=178
  match 31 seat0: winner=1 turns=12 selects=192
  match 31 seat1: winner=0 turns=11 selects=174
  match 32 seat0: winner=1 turns=12 selects=208
  match 32 seat1: winner=1 turns=12 selects=201
  match 33 seat0: winner=1 turns=10 selects=188
  match 33 seat1: winner=1 turns=4 selects=34
  match 34 seat0: winner=1 turns=14 selects=145
  match 34 seat1: winner=0 turns=13 selects=189
  match 35 seat0: winner=0 turns=11 selects=177
  match 35 seat1: winner=0 turns=13 selects=181
  match 36 seat0: winner=1 turns=14 selects=177
  match 36 seat1: winner=0 turns=22 selects=314
  match 37 seat0: winner=1 turns=14 selects=203
  match 37 seat1: winner=0 turns=13 selects=209
  match 38 seat0: winner=1 turns=12 selects=170
  match 38 seat1: winner=1 turns=10 selects=92
  match 39 seat0: winner=0 turns=15 selects=120
  match 39 seat1: winner=0 turns=19 selects=271
  match 40 seat0: winner=1 turns=12 selects=161
  match 40 seat1: winner=0 turns=13 selects=199
  match 41 seat0: winner=1 turns=10 selects=143
  match 41 seat1: winner=0 turns=17 selects=236
  match 42 seat0: winner=1 turns=16 selects=224
  match 42 seat1: winner=0 turns=17 selects=222
  match 43 seat0: winner=0 turns=9 selects=147
  match 43 seat1: winner=0 turns=9 selects=149
  match 44 seat0: winner=1 turns=12 selects=179
  match 44 seat1: winner=0 turns=9 selects=168
  match 45 seat0: winner=1 turns=17 selects=216
  match 45 seat1: winner=1 turns=12 selects=161
  match 46 seat0: winner=1 turns=10 selects=159
  match 46 seat1: winner=0 turns=14 selects=203
  match 47 seat0: winner=0 turns=11 selects=116
  match 47 seat1: winner=1 turns=14 selects=217
  match 48 seat0: winner=0 turns=11 selects=158
  match 48 seat1: winner=0 turns=11 selects=151
  match 49 seat0: winner=1 turns=16 selects=215
  match 49 seat1: winner=0 turns=11 selects=179
  match 50 seat0: winner=0 turns=9 selects=160
  match 50 seat1: winner=0 turns=13 selects=222
  match 51 seat0: winner=0 turns=11 selects=144
  match 51 seat1: winner=0 turns=11 selects=162
  match 52 seat0: winner=1 turns=10 selects=125
  match 52 seat1: winner=0 turns=13 selects=188
  match 53 seat0: winner=1 turns=14 selects=196
  match 53 seat1: winner=1 turns=14 selects=119
  match 54 seat0: winner=1 turns=10 selects=158
  match 54 seat1: winner=0 turns=11 selects=175
  match 55 seat0: winner=1 turns=18 selects=198
  match 55 seat1: winner=0 turns=15 selects=217
  match 56 seat0: winner=0 turns=13 selects=191
  match 56 seat1: winner=0 turns=11 selects=172
  match 57 seat0: winner=0 turns=13 selects=174
  match 57 seat1: winner=0 turns=13 selects=184
  match 58 seat0: winner=1 turns=14 selects=192
  match 58 seat1: winner=1 turns=10 selects=176
  match 59 seat0: winner=1 turns=12 selects=184
  match 59 seat1: winner=0 turns=11 selects=155
  match 60 seat0: winner=1 turns=10 selects=104
  match 60 seat1: winner=0 turns=11 selects=85
  match 61 seat0: winner=1 turns=16 selects=221
  match 61 seat1: winner=1 turns=4 selects=45
  match 62 seat0: winner=0 turns=13 selects=195
  match 62 seat1: winner=0 turns=11 selects=180
  match 63 seat0: winner=1 turns=10 selects=132
  match 63 seat1: winner=1 turns=16 selects=223
