=== ala@alakazam5 vs rule:crustle@crustle_v1 matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 0 seat0: winner=0 turns=11 selects=65
  match 0 seat1: winner=1 turns=3 selects=29
  match 1 seat0: winner=0 turns=3 selects=28
  match 1 seat1: winner=1 turns=13 selects=76
  match 2 seat0: winner=0 turns=11 selects=78
  match 2 seat1: winner=1 turns=19 selects=91
  match 3 seat0: winner=0 turns=5 selects=40
  match 3 seat1: winner=1 turns=5 selects=49
  match 4 seat0: winner=0 turns=3 selects=32
  match 4 seat1: winner=1 turns=11 selects=69
  match 5 seat0: winner=0 turns=5 selects=44
  match 5 seat1: winner=1 turns=17 selects=132
  match 6 seat0: winner=0 turns=13 selects=97
  match 6 seat1: winner=1 turns=3 selects=31
  match 7 seat0: winner=0 turns=9 selects=64
  match 7 seat1: winner=1 turns=15 selects=105
  match 8 seat0: winner=0 turns=5 selects=47
  match 8 seat1: winner=1 turns=17 selects=105
  match 9 seat0: winner=0 turns=13 selects=82
  match 9 seat1: winner=1 turns=5 selects=35
  match 10 seat0: winner=0 turns=3 selects=32
  match 10 seat1: winner=1 turns=5 selects=41
  match 11 seat0: winner=0 turns=11 selects=67
  match 11 seat1: winner=1 turns=11 selects=71
  match 12 seat0: winner=0 turns=7 selects=55
  match 12 seat1: winner=1 turns=3 selects=35
  match 13 seat0: winner=0 turns=5 selects=46
  match 13 seat1: winner=1 turns=5 selects=41
  match 14 seat0: winner=0 turns=7 selects=46
  match 14 seat1: winner=1 turns=7 selects=50
  match 15 seat0: winner=0 turns=9 selects=65
  match 15 seat1: winner=1 turns=9 selects=69
  match 16 seat0: winner=0 turns=11 selects=79
  match 16 seat1: winner=1 turns=3 selects=33
  match 17 seat0: winner=0 turns=7 selects=52
  match 17 seat1: winner=1 turns=5 selects=49
  match 18 seat0: winner=0 turns=3 selects=27
  match 18 seat1: winner=1 turns=5 selects=65
  match 19 seat0: winner=0 turns=5 selects=43
  match 19 seat1: winner=1 turns=5 selects=45
  match 20 seat0: winner=0 turns=11 selects=78
  match 20 seat1: winner=1 turns=9 selects=58
  match 21 seat0: winner=0 turns=5 selects=39
  match 21 seat1: winner=1 turns=19 selects=105
  match 22 seat0: winner=0 turns=5 selects=51
  match 22 seat1: winner=1 turns=5 selects=44
  match 23 seat0: winner=0 turns=7 selects=51
  match 23 seat1: winner=0 turns=27 selects=145
  match 24 seat0: winner=0 turns=11 selects=79
  match 24 seat1: winner=1 turns=11 selects=78
  match 25 seat0: winner=0 turns=3 selects=32
  match 25 seat1: winner=1 turns=13 selects=116
  match 26 seat0: winner=0 turns=11 selects=62
  match 26 seat1: winner=1 turns=5 selects=41
  match 27 seat0: winner=0 turns=3 selects=29
  match 27 seat1: winner=1 turns=3 selects=28
  match 28 seat0: winner=1 turns=19 selects=125
  match 28 seat1: winner=1 turns=9 selects=70
  match 29 seat0: winner=0 turns=9 selects=71
  match 29 seat1: winner=1 turns=5 selects=36
  match 30 seat0: winner=0 turns=3 selects=31
  match 30 seat1: winner=1 turns=7 selects=62
  match 31 seat0: winner=0 turns=13 selects=99
  match 31 seat1: winner=1 turns=11 selects=71
  match 32 seat0: winner=0 turns=15 selects=125
  match 32 seat1: winner=1 turns=3 selects=35
  match 33 seat0: winner=0 turns=5 selects=35
  match 33 seat1: winner=1 turns=5 selects=39
  match 34 seat0: winner=0 turns=15 selects=114
  match 34 seat1: winner=1 turns=5 selects=47
  match 35 seat0: winner=0 turns=15 selects=99
  match 35 seat1: winner=1 turns=5 selects=47
  match 36 seat0: winner=0 turns=9 selects=55
  match 36 seat1: winner=1 turns=11 selects=80
  match 37 seat0: winner=0 turns=3 selects=32
  match 37 seat1: winner=1 turns=11 selects=73
  match 38 seat0: winner=0 turns=11 selects=58
  match 38 seat1: winner=0 turns=27 selects=129
  match 39 seat0: winner=0 turns=15 selects=93
  match 39 seat1: winner=1 turns=9 selects=64
  match 40 seat0: winner=0 turns=9 selects=68
  match 40 seat1: winner=1 turns=9 selects=57
  match 41 seat0: winner=0 turns=13 selects=94
  match 41 seat1: winner=1 turns=7 selects=73
  match 42 seat0: winner=0 turns=11 selects=76
  match 42 seat1: winner=1 turns=9 selects=62
  match 43 seat0: winner=0 turns=9 selects=67
  match 43 seat1: winner=1 turns=11 selects=78
  match 44 seat0: winner=0 turns=3 selects=29
  match 44 seat1: winner=1 turns=7 selects=53
  match 45 seat0: winner=0 turns=5 selects=45
