=== ala@alakazam5 vs rule:dragapult@dragapult_ex matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 0 seat0: winner=1 turns=6 selects=55
  match 0 seat1: winner=0 turns=18 selects=217
  match 1 seat0: winner=1 turns=16 selects=176
  match 1 seat1: winner=0 turns=14 selects=165
  match 2 seat0: winner=1 turns=14 selects=197
  match 2 seat1: winner=1 turns=9 selects=142
  match 3 seat0: winner=1 turns=10 selects=160
  match 3 seat1: winner=1 turns=13 selects=187
  match 4 seat0: winner=0 turns=9 selects=106
  match 4 seat1: winner=0 turns=12 selects=173
  match 5 seat0: winner=1 turns=12 selects=146
  match 5 seat1: winner=0 turns=20 selects=232
  match 6 seat0: winner=0 turns=15 selects=173
  match 6 seat1: winner=0 turns=12 selects=190
  match 7 seat0: winner=0 turns=11 selects=143
  match 7 seat1: winner=0 turns=12 selects=157
  match 8 seat0: winner=0 turns=17 selects=177
  match 8 seat1: winner=0 turns=12 selects=178
  match 9 seat0: winner=0 turns=13 selects=138
  match 9 seat1: winner=1 turns=13 selects=185
  match 10 seat0: winner=1 turns=14 selects=177
  match 10 seat1: winner=0 turns=22 selects=201
  match 11 seat0: winner=1 turns=14 selects=223
  match 11 seat1: winner=1 turns=13 selects=183
  match 12 seat0: winner=0 turns=11 selects=156
  match 12 seat1: winner=0 turns=10 selects=161
  match 13 seat0: winner=1 turns=13 selects=81
  match 13 seat1: winner=1 turns=9 selects=149
  match 14 seat0: winner=0 turns=13 selects=141
  match 14 seat1: winner=1 turns=11 selects=184
  match 15 seat0: winner=1 turns=12 selects=150
  match 15 seat1: winner=1 turns=15 selects=184
  match 16 seat0: winner=0 turns=13 selects=185
  match 16 seat1: winner=0 turns=13 selects=146
  match 17 seat0: winner=1 turns=12 selects=175
  match 17 seat1: winner=1 turns=11 selects=181
  match 18 seat0: winner=0 turns=17 selects=156
  match 18 seat1: winner=0 turns=14 selects=155
  match 19 seat0: winner=1 turns=10 selects=167
  match 19 seat1: winner=0 turns=16 selects=212
  match 20 seat0: winner=1 turns=12 selects=150
  match 20 seat1: winner=0 turns=14 selects=189
  match 21 seat0: winner=0 turns=13 selects=162
  match 21 seat1: winner=0 turns=14 selects=196
  match 22 seat0: winner=0 turns=17 selects=212
  match 22 seat1: winner=1 turns=19 selects=184
  match 23 seat0: winner=0 turns=15 selects=86
  match 23 seat1: winner=1 turns=15 selects=197
  match 24 seat0: winner=1 turns=12 selects=115
  match 24 seat1: winner=1 turns=11 selects=153
  match 25 seat0: winner=0 turns=13 selects=121
  match 25 seat1: winner=1 turns=13 selects=188
  match 26 seat0: winner=1 turns=14 selects=200
  match 26 seat1: winner=0 turns=10 selects=166
  match 27 seat0: winner=0 turns=9 selects=80
  match 27 seat1: winner=0 turns=8 selects=72
  match 28 seat0: winner=0 turns=13 selects=181
  match 28 seat1: winner=1 turns=13 selects=182
  match 29 seat0: winner=0 turns=19 selects=212
  match 29 seat1: winner=0 turns=10 selects=181
  match 30 seat0: winner=1 turns=12 selects=166
  match 30 seat1: winner=0 turns=14 selects=206
  match 31 seat0: winner=1 turns=16 selects=200
  match 31 seat1: winner=0 turns=12 selects=161
  match 32 seat0: winner=1 turns=12 selects=158
  match 32 seat1: winner=0 turns=10 selects=146
  match 33 seat0: winner=0 turns=13 selects=108
  match 33 seat1: winner=1 turns=11 selects=156
  match 34 seat0: winner=0 turns=13 selects=163
  match 34 seat1: winner=0 turns=18 selects=204
  match 35 seat0: winner=0 turns=13 selects=164
  match 35 seat1: winner=0 turns=14 selects=183
  match 36 seat0: winner=1 turns=14 selects=178
  match 36 seat1: winner=1 turns=21 selects=219
  match 37 seat0: winner=1 turns=14 selects=193
  match 37 seat1: winner=1 turns=11 selects=138
  match 38 seat0: winner=0 turns=11 selects=129
  match 38 seat1: winner=0 turns=16 selects=167
  match 39 seat0: winner=1 turns=16 selects=191
  match 39 seat1: winner=0 turns=10 selects=158
  match 40 seat0: winner=1 turns=14 selects=186
  match 40 seat1: winner=1 turns=15 selects=174
  match 41 seat0: winner=0 turns=9 selects=111
  match 41 seat1: winner=1 turns=11 selects=149
  match 42 seat0: winner=0 turns=13 selects=123
  match 42 seat1: winner=1 turns=9 selects=124
  match 43 seat0: winner=1 turns=16 selects=191
  match 43 seat1: winner=0 turns=12 selects=176
