=== arch@archaludon_ex vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 0 seat0: winner=0 turns=5 selects=36
  match 0 seat1: winner=0 turns=17 selects=187
  match 1 seat0: winner=1 turns=12 selects=158
  match 1 seat1: winner=0 turns=15 selects=165
  match 2 seat0: winner=1 turns=16 selects=177
  match 2 seat1: winner=0 turns=19 selects=184
  match 3 seat0: winner=1 turns=20 selects=190
  match 3 seat1: winner=0 turns=11 selects=108
  match 4 seat0: winner=1 turns=14 selects=162
  match 4 seat1: winner=0 turns=13 selects=164
  match 5 seat0: winner=0 turns=19 selects=133
  match 5 seat1: winner=0 turns=26 selects=206
  match 6 seat0: winner=1 turns=14 selects=122
  match 6 seat1: winner=0 turns=13 selects=152
  match 7 seat0: winner=1 turns=18 selects=193
  match 7 seat1: winner=0 turns=9 selects=87
  match 8 seat0: winner=1 turns=12 selects=146
  match 8 seat1: winner=0 turns=15 selects=166
  match 9 seat0: winner=1 turns=8 selects=72
  match 9 seat1: winner=0 turns=3 selects=39
  match 10 seat0: winner=1 turns=14 selects=129
  match 10 seat1: winner=0 turns=13 selects=197
  match 11 seat0: winner=1 turns=18 selects=145
  match 11 seat1: winner=0 turns=21 selects=189
  match 12 seat0: winner=1 turns=14 selects=167
  match 12 seat1: winner=1 turns=14 selects=213
  match 13 seat0: winner=1 turns=12 selects=95
  match 13 seat1: winner=0 turns=15 selects=107
  match 14 seat0: winner=1 turns=14 selects=154
  match 14 seat1: winner=0 turns=11 selects=122
  match 15 seat0: winner=1 turns=16 selects=181
  match 15 seat1: winner=0 turns=13 selects=167
  match 16 seat0: winner=1 turns=16 selects=188
  match 16 seat1: winner=0 turns=7 selects=103
  match 17 seat0: winner=1 turns=10 selects=106
  match 17 seat1: winner=0 turns=13 selects=137
  match 18 seat0: winner=0 turns=15 selects=168
  match 18 seat1: winner=0 turns=11 selects=142
  match 19 seat0: winner=1 turns=8 selects=86
  match 19 seat1: winner=0 turns=15 selects=101
  match 20 seat0: winner=1 turns=25 selects=197
  match 20 seat1: winner=0 turns=11 selects=139
  match 21 seat0: winner=1 turns=18 selects=195
  match 21 seat1: winner=0 turns=15 selects=206
  match 22 seat0: winner=1 turns=12 selects=139
  match 22 seat1: winner=0 turns=11 selects=167
  match 23 seat0: winner=1 turns=14 selects=177
  match 23 seat1: winner=0 turns=19 selects=189
  match 24 seat0: winner=1 turns=12 selects=136
  match 24 seat1: winner=0 turns=9 selects=112
  match 25 seat0: winner=1 turns=10 selects=103
  match 25 seat1: winner=0 turns=9 selects=129
  match 26 seat0: winner=1 turns=10 selects=94
  match 26 seat1: winner=0 turns=13 selects=194
  match 27 seat0: winner=1 turns=12 selects=144
  match 27 seat1: winner=0 turns=9 selects=121
  match 28 seat0: winner=1 turns=12 selects=134
  match 28 seat1: winner=0 turns=13 selects=171
  match 29 seat0: winner=1 turns=12 selects=109
  match 29 seat1: winner=0 turns=17 selects=229
  match 30 seat0: winner=1 turns=14 selects=170
  match 30 seat1: winner=0 turns=13 selects=173
  match 31 seat0: winner=1 turns=14 selects=159
  match 31 seat1: winner=0 turns=9 selects=102
  match 32 seat0: winner=1 turns=12 selects=142
  match 32 seat1: winner=0 turns=15 selects=136
  match 33 seat0: winner=1 turns=12 selects=128
  match 33 seat1: winner=0 turns=5 selects=42
  match 34 seat0: winner=1 turns=14 selects=191
  match 34 seat1: winner=0 turns=11 selects=146
  match 35 seat0: winner=1 turns=12 selects=173
  match 35 seat1: winner=1 turns=20 selects=186
  match 36 seat0: winner=1 turns=12 selects=164
  match 36 seat1: winner=0 turns=13 selects=142
  match 37 seat0: winner=1 turns=6 selects=68
  match 37 seat1: winner=1 turns=20 selects=173
  match 38 seat0: winner=1 turns=6 selects=68
  match 38 seat1: winner=0 turns=11 selects=155
  match 39 seat0: winner=1 turns=15 selects=187
  match 39 seat1: winner=1 turns=14 selects=158
  match 40 seat0: winner=1 turns=4 selects=46
  match 40 seat1: winner=0 turns=9 selects=105
  match 41 seat0: winner=1 turns=4 selects=48
  match 41 seat1: winner=0 turns=15 selects=204
  match 42 seat0: winner=1 turns=20 selects=186
  match 42 seat1: winner=0 turns=5 selects=68
  match 43 seat0: winner=1 turns=6 selects=72
  match 43 seat1: winner=0 turns=13 selects=128
  match 44 seat0: winner=1 turns=18 selects=173
  match 44 seat1: winner=0 turns=15 selects=146
  match 45 seat0: winner=1 turns=14 selects=168
  match 45 seat1: winner=0 turns=15 selects=205
  match 46 seat0: winner=1 turns=10 selects=98
  match 46 seat1: winner=0 turns=15 selects=179
  match 47 seat0: winner=1 turns=16 selects=165
  match 47 seat1: winner=0 turns=17 selects=208
  match 48 seat0: winner=0 turns=19 selects=223
  match 48 seat1: winner=0 turns=11 selects=84
  match 49 seat0: winner=1 turns=12 selects=110
  match 49 seat1: winner=0 turns=13 selects=141
  match 50 seat0: winner=1 turns=16 selects=164
  match 50 seat1: winner=0 turns=19 selects=140
  match 51 seat0: winner=1 turns=16 selects=166
  match 51 seat1: winner=0 turns=17 selects=184
  match 52 seat0: winner=1 turns=12 selects=163
  match 52 seat1: winner=0 turns=13 selects=154
  match 53 seat0: winner=1 turns=12 selects=104
  match 53 seat1: winner=0 turns=7 selects=69
  match 54 seat0: winner=0 turns=15 selects=91
  match 54 seat1: winner=0 turns=13 selects=158
  match 55 seat0: winner=1 turns=16 selects=191
  match 55 seat1: winner=0 turns=17 selects=182
  match 56 seat0: winner=1 turns=6 selects=58
  match 56 seat1: winner=0 turns=11 selects=129
  match 57 seat0: winner=1 turns=16 selects=164
  match 57 seat1: winner=0 turns=11 selects=156
  match 58 seat0: winner=1 turns=8 selects=58
  match 58 seat1: winner=0 turns=17 selects=187
  match 59 seat0: winner=1 turns=16 selects=154
  match 59 seat1: winner=0 turns=19 selects=156
  match 60 seat0: winner=1 turns=10 selects=93
  match 60 seat1: winner=0 turns=13 selects=150
  match 61 seat0: winner=1 turns=8 selects=83
  match 61 seat1: winner=0 turns=15 selects=186
  match 62 seat0: winner=0 turns=15 selects=179
  match 62 seat1: winner=0 turns=11 selects=131
  match 63 seat0: winner=1 turns=14 selects=171
  match 63 seat1: winner=0 turns=13 selects=161
  match 64 seat0: winner=1 turns=17 selects=155
  match 64 seat1: winner=0 turns=15 selects=154
  match 65 seat0: winner=1 turns=14 selects=158
  match 65 seat1: winner=0 turns=13 selects=163
  match 66 seat0: winner=1 turns=8 selects=84
  match 66 seat1: winner=0 turns=15 selects=187
  match 67 seat0: winner=1 turns=16 selects=167
  match 67 seat1: winner=0 turns=11 selects=132
  match 68 seat0: winner=1 turns=10 selects=94
  match 68 seat1: winner=1 turns=18 selects=168
  match 69 seat0: winner=1 turns=14 selects=142
  match 69 seat1: winner=0 turns=5 selects=76
  match 70 seat0: winner=1 turns=4 selects=46
  match 70 seat1: winner=1 turns=14 selects=175
  match 71 seat0: winner=1 turns=16 selects=161
  match 71 seat1: winner=0 turns=15 selects=155
  match 72 seat0: winner=0 turns=17 selects=167
  match 72 seat1: winner=0 turns=14 selects=169
  match 73 seat0: winner=1 turns=20 selects=205
  match 73 seat1: winner=0 turns=14 selects=149
  match 74 seat0: winner=1 turns=10 selects=114
  match 74 seat1: winner=0 turns=15 selects=177
  match 75 seat0: winner=1 turns=8 selects=74
  match 75 seat1: winner=1 turns=16 selects=208
  match 76 seat0: winner=1 turns=18 selects=222
  match 76 seat1: winner=0 turns=11 selects=106
  match 77 seat0: winner=1 turns=14 selects=172
  match 77 seat1: winner=0 turns=15 selects=176
  match 78 seat0: winner=0 turns=17 selects=169
  match 78 seat1: winner=0 turns=13 selects=129
  match 79 seat0: winner=1 turns=16 selects=188
  match 79 seat1: winner=0 turns=19 selects=173
  match 80 seat0: winner=0 turns=19 selects=196
  match 80 seat1: winner=0 turns=15 selects=119
  match 81 seat0: winner=1 turns=16 selects=145
  match 81 seat1: winner=0 turns=21 selects=173
  match 82 seat0: winner=1 turns=8 selects=80
  match 82 seat1: winner=0 turns=11 selects=180
  match 83 seat0: winner=1 turns=12 selects=140
  match 83 seat1: winner=0 turns=17 selects=186
  match 84 seat0: winner=1 turns=12 selects=178
  match 84 seat1: winner=0 turns=3 selects=28
  match 85 seat0: winner=1 turns=6 selects=66
  match 85 seat1: winner=0 turns=14 selects=143
  match 86 seat0: winner=1 turns=12 selects=100
  match 86 seat1: winner=0 turns=7 selects=98
  match 87 seat0: winner=1 turns=14 selects=126
  match 87 seat1: winner=0 turns=15 selects=133
  match 88 seat0: winner=1 turns=20 selects=201
  match 88 seat1: winner=0 turns=9 selects=104
  match 89 seat0: winner=1 turns=12 selects=138
  match 89 seat1: winner=0 turns=17 selects=181
  match 90 seat0: winner=1 turns=12 selects=132
  match 90 seat1: winner=0 turns=9 selects=85
  match 91 seat0: winner=1 turns=14 selects=135
  match 91 seat1: winner=0 turns=15 selects=136
  match 92 seat0: winner=1 turns=6 selects=64
  match 92 seat1: winner=0 turns=13 selects=183
  match 93 seat0: winner=1 turns=8 selects=105
  match 93 seat1: winner=0 turns=3 selects=47
  match 94 seat0: winner=1 turns=12 selects=168
  match 94 seat1: winner=0 turns=11 selects=159
  match 95 seat0: winner=1 turns=8 selects=87
  match 95 seat1: winner=0 turns=17 selects=153
  match 96 seat0: winner=1 turns=14 selects=147
  match 96 seat1: winner=0 turns=7 selects=94
  match 97 seat0: winner=0 turns=17 selects=176
  match 97 seat1: winner=0 turns=13 selects=159
  match 98 seat0: winner=1 turns=10 selects=104
  match 98 seat1: winner=0 turns=15 selects=116
  match 99 seat0: winner=1 turns=18 selects=149
  match 99 seat1: winner=0 turns=13 selects=147
  match 100 seat0: winner=1 turns=8 selects=109
  match 100 seat1: winner=0 turns=7 selects=77
  match 101 seat0: winner=1 turns=14 selects=184
  match 101 seat1: winner=0 turns=14 selects=174
  match 102 seat0: winner=1 turns=12 selects=137
  match 102 seat1: winner=0 turns=15 selects=180
  match 103 seat0: winner=1 turns=14 selects=158
  match 103 seat1: winner=0 turns=16 selects=188
  match 104 seat0: winner=1 turns=14 selects=128
  match 104 seat1: winner=0 turns=13 selects=146
  match 105 seat0: winner=1 turns=14 selects=171
  match 105 seat1: winner=0 turns=17 selects=155
  match 106 seat0: winner=1 turns=14 selects=161
