=== arch@archaludon_ex vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc#4790c469 [grimmsnarl], 200 paired matches (400 games)...
  match 0 seat0: winner=0 turns=21 selects=201
  match 0 seat1: winner=0 turns=13 selects=169
  match 1 seat0: winner=0 turns=15 selects=219
  match 1 seat1: winner=0 turns=13 selects=185
  match 2 seat0: winner=1 turns=10 selects=88
  match 2 seat1: winner=0 turns=11 selects=119
  match 3 seat0: winner=1 turns=12 selects=148
  match 3 seat1: winner=0 turns=11 selects=138
  match 4 seat0: winner=1 turns=14 selects=201
  match 4 seat1: winner=0 turns=13 selects=180
  match 5 seat0: winner=1 turns=4 selects=51
  match 5 seat1: winner=0 turns=11 selects=117
  match 6 seat0: winner=0 turns=15 selects=208
  match 6 seat1: winner=1 turns=16 selects=190
  match 7 seat0: winner=1 turns=12 selects=167
  match 7 seat1: winner=0 turns=13 selects=163
  match 8 seat0: winner=1 turns=12 selects=193
  match 8 seat1: winner=0 turns=13 selects=179
  match 9 seat0: winner=0 turns=15 selects=164
  match 9 seat1: winner=0 turns=9 selects=98
  match 10 seat0: winner=1 turns=16 selects=232
  match 10 seat1: winner=0 turns=15 selects=181
  match 11 seat0: winner=1 turns=10 selects=135
  match 11 seat1: winner=0 turns=9 selects=104
  match 12 seat0: winner=1 turns=18 selects=181
  match 12 seat1: winner=0 turns=9 selects=81
  match 13 seat0: winner=1 turns=18 selects=229
  match 13 seat1: winner=0 turns=14 selects=173
  match 14 seat0: winner=0 turns=15 selects=131
  match 14 seat1: winner=0 turns=11 selects=119
  match 15 seat0: winner=1 turns=14 selects=162
  match 15 seat1: winner=0 turns=9 selects=124
  match 16 seat0: winner=1 turns=8 selects=68
  match 16 seat1: winner=0 turns=13 selects=152
  match 17 seat0: winner=1 turns=10 selects=98
  match 17 seat1: winner=0 turns=13 selects=114
  match 18 seat0: winner=1 turns=18 selects=220
  match 18 seat1: winner=0 turns=9 selects=103
  match 19 seat0: winner=1 turns=10 selects=96
  match 19 seat1: winner=0 turns=13 selects=158
  match 20 seat0: winner=1 turns=6 selects=48
  match 20 seat1: winner=0 turns=11 selects=142
  match 21 seat0: winner=1 turns=14 selects=168
  match 21 seat1: winner=0 turns=13 selects=113
  match 22 seat0: winner=1 turns=14 selects=134
  match 22 seat1: winner=0 turns=13 selects=155
  match 23 seat0: winner=1 turns=16 selects=177
  match 23 seat1: winner=0 turns=15 selects=154
  match 24 seat0: winner=0 turns=21 selects=159
  match 24 seat1: winner=0 turns=13 selects=185
  match 25 seat0: winner=1 turns=14 selects=163
  match 25 seat1: winner=0 turns=7 selects=76
  match 26 seat0: winner=1 turns=14 selects=175
  match 26 seat1: winner=0 turns=19 selects=197
  match 27 seat0: winner=1 turns=16 selects=158
  match 27 seat1: winner=0 turns=13 selects=160
  match 28 seat0: winner=1 turns=14 selects=172
  match 28 seat1: winner=0 turns=15 selects=195
  match 29 seat0: winner=1 turns=14 selects=191
  match 29 seat1: winner=0 turns=9 selects=95
  match 30 seat0: winner=1 turns=10 selects=97
  match 30 seat1: winner=0 turns=15 selects=169
  match 31 seat0: winner=1 turns=12 selects=122
  match 31 seat1: winner=0 turns=11 selects=187
  match 32 seat0: winner=1 turns=12 selects=171
  match 32 seat1: winner=0 turns=25 selects=242
  match 33 seat0: winner=1 turns=10 selects=92
  match 33 seat1: winner=1 turns=14 selects=151
  match 34 seat0: winner=1 turns=4 selects=49
  match 34 seat1: winner=0 turns=11 selects=152
  match 35 seat0: winner=0 turns=17 selects=154
  match 35 seat1: winner=0 turns=13 selects=166
  match 36 seat0: winner=1 turns=14 selects=215
  match 36 seat1: winner=1 turns=12 selects=146
  match 37 seat0: winner=1 turns=13 selects=168
  match 37 seat1: winner=0 turns=13 selects=161
  match 38 seat0: winner=1 turns=6 selects=56
  match 38 seat1: winner=0 turns=7 selects=91
  match 39 seat0: winner=1 turns=21 selects=204
  match 39 seat1: winner=0 turns=15 selects=239
  match 40 seat0: winner=1 turns=14 selects=204
  match 40 seat1: winner=0 turns=15 selects=160
  match 41 seat0: winner=1 turns=16 selects=174
  match 41 seat1: winner=0 turns=7 selects=98
  match 42 seat0: winner=1 turns=14 selects=175
  match 42 seat1: winner=0 turns=9 selects=119
  match 43 seat0: winner=1 turns=12 selects=156
  match 43 seat1: winner=0 turns=7 selects=48
  match 44 seat0: winner=1 turns=12 selects=139
  match 44 seat1: winner=0 turns=13 selects=176
  match 45 seat0: winner=1 turns=16 selects=192
  match 45 seat1: winner=1 turns=16 selects=158
  match 46 seat0: winner=1 turns=18 selects=172
  match 46 seat1: winner=0 turns=15 selects=175
  match 47 seat0: winner=1 turns=16 selects=216
  match 47 seat1: winner=0 turns=11 selects=165
  match 48 seat0: winner=1 turns=18 selects=218
  match 48 seat1: winner=0 turns=11 selects=175
