=== arch@archaludon_ex vs rule:archaludon@archaludon_ex matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 0 seat0: winner=1 turns=17 selects=129
  match 0 seat1: winner=0 turns=18 selects=140
  match 1 seat0: winner=0 turns=17 selects=108
  match 1 seat1: winner=0 turns=24 selects=176
  match 2 seat0: winner=1 turns=10 selects=64
  match 2 seat1: winner=1 turns=15 selects=143
  match 3 seat0: winner=1 turns=16 selects=119
  match 3 seat1: winner=0 turns=18 selects=149
  match 4 seat0: winner=1 turns=18 selects=137
  match 4 seat1: winner=0 turns=10 selects=94
  match 5 seat0: winner=1 turns=14 selects=114
  match 5 seat1: winner=0 turns=10 selects=85
  match 6 seat0: winner=1 turns=16 selects=140
  match 6 seat1: winner=0 turns=12 selects=97
  match 7 seat0: winner=1 turns=14 selects=115
  match 7 seat1: winner=1 turns=5 selects=32
  match 8 seat0: winner=1 turns=4 selects=42
  match 8 seat1: winner=0 turns=16 selects=146
  match 9 seat0: winner=1 turns=12 selects=115
  match 9 seat1: winner=0 turns=16 selects=86
  match 10 seat0: winner=1 turns=6 selects=68
  match 10 seat1: winner=1 turns=19 selects=165
  match 11 seat0: winner=1 turns=20 selects=127
  match 11 seat1: winner=1 turns=11 selects=69
  match 12 seat0: winner=1 turns=16 selects=153
  match 12 seat1: winner=0 turns=18 selects=136
  match 13 seat0: winner=0 turns=11 selects=95
  match 13 seat1: winner=1 turns=17 selects=119
  match 14 seat0: winner=1 turns=12 selects=118
  match 14 seat1: winner=0 turns=6 selects=45
  match 15 seat0: winner=1 turns=12 selects=116
  match 15 seat1: winner=0 turns=12 selects=83
  match 16 seat0: winner=1 turns=14 selects=104
  match 16 seat1: winner=1 turns=15 selects=86
  match 17 seat0: winner=1 turns=16 selects=126
  match 17 seat1: winner=0 turns=22 selects=140
  match 18 seat0: winner=1 turns=8 selects=54
  match 18 seat1: winner=1 turns=23 selects=112
  match 19 seat0: winner=1 turns=20 selects=117
  match 19 seat1: winner=0 turns=16 selects=139
  match 20 seat0: winner=1 turns=30 selects=183
  match 20 seat1: winner=0 turns=8 selects=78
  match 21 seat0: winner=1 turns=4 selects=38
