=== arch@archaludon_ex vs rule:crustle@crustle_v1 matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 0 seat0: winner=0 turns=9 selects=60
  match 0 seat1: winner=0 turns=36 selects=124
  match 1 seat0: winner=1 turns=25 selects=94
  match 1 seat1: winner=0 turns=33 selects=128
  match 2 seat0: winner=0 turns=5 selects=38
  match 2 seat1: winner=0 turns=19 selects=101
  match 3 seat0: winner=1 turns=29 selects=124
  match 3 seat1: winner=0 turns=39 selects=160
  match 4 seat0: winner=1 turns=23 selects=106
  match 4 seat1: winner=0 turns=29 selects=109
  match 5 seat0: winner=1 turns=15 selects=86
  match 5 seat1: winner=0 turns=29 selects=117
  match 6 seat0: winner=1 turns=25 selects=108
  match 6 seat1: winner=0 turns=39 selects=122
  match 7 seat0: winner=1 turns=25 selects=102
  match 7 seat1: winner=0 turns=33 selects=122
  match 8 seat0: winner=1 turns=30 selects=126
  match 8 seat1: winner=0 turns=21 selects=87
  match 9 seat0: winner=1 turns=26 selects=98
  match 9 seat1: winner=0 turns=19 selects=99
  match 10 seat0: winner=1 turns=38 selects=139
  match 10 seat1: winner=0 turns=31 selects=150
  match 11 seat0: winner=1 turns=31 selects=133
  match 11 seat1: winner=0 turns=25 selects=110
  match 12 seat0: winner=0 turns=5 selects=52
  match 12 seat1: winner=0 turns=17 selects=91
  match 13 seat0: winner=1 turns=19 selects=99
  match 13 seat1: winner=0 turns=15 selects=90
  match 14 seat0: winner=1 turns=38 selects=135
  match 14 seat1: winner=0 turns=33 selects=122
  match 15 seat0: winner=1 turns=31 selects=120
  match 15 seat1: winner=0 turns=27 selects=99
  match 16 seat0: winner=1 turns=28 selects=115
  match 16 seat1: winner=0 turns=25 selects=108
  match 17 seat0: winner=1 turns=25 selects=116
  match 17 seat1: winner=0 turns=23 selects=80
  match 18 seat0: winner=1 turns=27 selects=121
  match 18 seat1: winner=0 turns=21 selects=93
  match 19 seat0: winner=1 turns=19 selects=109
  match 19 seat1: winner=0 turns=33 selects=132
  match 20 seat0: winner=0 turns=13 selects=78
  match 20 seat1: winner=0 turns=21 selects=102
  match 21 seat0: winner=1 turns=27 selects=112
  match 21 seat1: winner=1 turns=13 selects=86
  match 22 seat0: winner=1 turns=17 selects=92
  match 22 seat1: winner=0 turns=23 selects=111
  match 23 seat0: winner=1 turns=23 selects=105
  match 23 seat1: winner=0 turns=33 selects=116
  match 24 seat0: winner=1 turns=23 selects=97
  match 24 seat1: winner=0 turns=19 selects=101
  match 25 seat0: winner=1 turns=23 selects=106
  match 25 seat1: winner=0 turns=29 selects=119
  match 26 seat0: winner=1 turns=37 selects=139
  match 26 seat1: winner=0 turns=15 selects=77
  match 27 seat0: winner=1 turns=20 selects=58
  match 27 seat1: winner=0 turns=37 selects=124
  match 28 seat0: winner=1 turns=29 selects=126
  match 28 seat1: winner=0 turns=29 selects=126
  match 29 seat0: winner=0 turns=5 selects=44
  match 29 seat1: winner=0 turns=36 selects=130
  match 30 seat0: winner=1 turns=17 selects=85
  match 30 seat1: winner=0 turns=31 selects=122
  match 31 seat0: winner=1 turns=21 selects=94
  match 31 seat1: winner=0 turns=19 selects=94
  match 32 seat0: winner=1 turns=23 selects=113
  match 32 seat1: winner=0 turns=23 selects=113
  match 33 seat0: winner=1 turns=19 selects=98
  match 33 seat1: winner=0 turns=19 selects=107
  match 34 seat0: winner=1 turns=31 selects=96
  match 34 seat1: winner=0 turns=21 selects=90
  match 35 seat0: winner=1 turns=24 selects=115
  match 35 seat1: winner=0 turns=33 selects=111
  match 36 seat0: winner=1 turns=19 selects=103
  match 36 seat1: winner=0 turns=13 selects=74
  match 37 seat0: winner=1 turns=23 selects=117
  match 37 seat1: winner=0 turns=19 selects=102
  match 38 seat0: winner=1 turns=27 selects=126
  match 38 seat1: winner=0 turns=31 selects=106
  match 39 seat0: winner=1 turns=27 selects=107
  match 39 seat1: winner=0 turns=25 selects=116
  match 40 seat0: winner=1 turns=19 selects=96
  match 40 seat1: winner=0 turns=27 selects=122
  match 41 seat0: winner=1 turns=21 selects=103
  match 41 seat1: winner=0 turns=31 selects=126
  match 42 seat0: winner=1 turns=35 selects=137
  match 42 seat1: winner=0 turns=17 selects=83
  match 43 seat0: winner=1 turns=17 selects=72
  match 43 seat1: winner=0 turns=33 selects=121
  match 44 seat0: winner=1 turns=27 selects=96
  match 44 seat1: winner=0 turns=31 selects=127
  match 45 seat0: winner=1 turns=30 selects=109
  match 45 seat1: winner=0 turns=21 selects=109
  match 46 seat0: winner=1 turns=19 selects=86
  match 46 seat1: winner=0 turns=25 selects=123
  match 47 seat0: winner=0 turns=5 selects=39
  match 47 seat1: winner=0 turns=29 selects=127
  match 48 seat0: winner=1 turns=19 selects=109
  match 48 seat1: winner=0 turns=19 selects=92
  match 49 seat0: winner=1 turns=27 selects=115
  match 49 seat1: winner=0 turns=19 selects=86
  match 50 seat0: winner=1 turns=40 selects=146
  match 50 seat1: winner=1 turns=5 selects=37
  match 51 seat0: winner=1 turns=27 selects=134
  match 51 seat1: winner=0 turns=33 selects=135
  match 52 seat0: winner=1 turns=28 selects=112
  match 52 seat1: winner=0 turns=31 selects=130
  match 53 seat0: winner=1 turns=21 selects=89
  match 53 seat1: winner=0 turns=29 selects=116
  match 54 seat0: winner=1 turns=25 selects=120
  match 54 seat1: winner=0 turns=29 selects=119
  match 55 seat0: winner=1 turns=31 selects=119
  match 55 seat1: winner=0 turns=29 selects=132
  match 56 seat0: winner=1 turns=33 selects=133
  match 56 seat1: winner=0 turns=27 selects=128
  match 57 seat0: winner=1 turns=27 selects=119
  match 57 seat1: winner=0 turns=31 selects=114
  match 58 seat0: winner=1 turns=25 selects=108
  match 58 seat1: winner=0 turns=31 selects=131
  match 59 seat0: winner=1 turns=25 selects=131
  match 59 seat1: winner=0 turns=27 selects=113
  match 60 seat0: winner=1 turns=33 selects=124
  match 60 seat1: winner=0 turns=19 selects=95
  match 61 seat0: winner=1 turns=33 selects=126
  match 61 seat1: winner=0 turns=24 selects=85
  match 62 seat0: winner=1 turns=13 selects=80
  match 62 seat1: winner=0 turns=33 selects=116
  match 63 seat0: winner=1 turns=31 selects=124
  match 63 seat1: winner=1 turns=3 selects=25
  match 64 seat0: winner=1 turns=17 selects=90
  match 64 seat1: winner=0 turns=21 selects=115
  match 65 seat0: winner=1 turns=28 selects=118
  match 65 seat1: winner=0 turns=33 selects=117
  match 66 seat0: winner=1 turns=23 selects=111
  match 66 seat1: winner=0 turns=23 selects=108
  match 67 seat0: winner=1 turns=21 selects=108
  match 67 seat1: winner=0 turns=32 selects=132
  match 68 seat0: winner=0 turns=5 selects=41
  match 68 seat1: winner=0 turns=23 selects=103
  match 69 seat0: winner=1 turns=25 selects=112
  match 69 seat1: winner=0 turns=27 selects=126
  match 70 seat0: winner=1 turns=35 selects=119
  match 70 seat1: winner=0 turns=23 selects=107
  match 71 seat0: winner=1 turns=23 selects=96
  match 71 seat1: winner=0 turns=25 selects=108
  match 72 seat0: winner=1 turns=19 selects=83
  match 72 seat1: winner=0 turns=15 selects=80
  match 73 seat0: winner=1 turns=27 selects=123
  match 73 seat1: winner=0 turns=19 selects=99
  match 74 seat0: winner=1 turns=17 selects=108
  match 74 seat1: winner=1 turns=7 selects=49
  match 75 seat0: winner=1 turns=23 selects=108
  match 75 seat1: winner=0 turns=23 selects=112
  match 76 seat0: winner=1 turns=38 selects=136
  match 76 seat1: winner=0 turns=27 selects=119
  match 77 seat0: winner=0 turns=5 selects=30
  match 77 seat1: winner=1 turns=5 selects=31
  match 78 seat0: winner=1 turns=31 selects=138
  match 78 seat1: winner=0 turns=43 selects=133
  match 79 seat0: winner=1 turns=17 selects=86
  match 79 seat1: winner=0 turns=25 selects=127
  match 80 seat0: winner=1 turns=23 selects=93
  match 80 seat1: winner=0 turns=31 selects=124
  match 81 seat0: winner=1 turns=17 selects=85
  match 81 seat1: winner=0 turns=29 selects=122
  match 82 seat0: winner=1 turns=28 selects=127
  match 82 seat1: winner=0 turns=33 selects=138
  match 83 seat0: winner=1 turns=17 selects=91
  match 83 seat1: winner=0 turns=36 selects=124
  match 84 seat0: winner=1 turns=23 selects=108
  match 84 seat1: winner=0 turns=19 selects=94
  match 85 seat0: winner=1 turns=19 selects=97
  match 85 seat1: winner=0 turns=25 selects=88
  match 86 seat0: winner=1 turns=29 selects=126
  match 86 seat1: winner=0 turns=23 selects=107
  match 87 seat0: winner=1 turns=25 selects=123
  match 87 seat1: winner=0 turns=25 selects=114
  match 88 seat0: winner=1 turns=23 selects=102
  match 88 seat1: winner=0 turns=23 selects=105
  match 89 seat0: winner=1 turns=19 selects=101
  match 89 seat1: winner=0 turns=35 selects=126
  match 90 seat0: winner=1 turns=32 selects=114
  match 90 seat1: winner=0 turns=23 selects=101
