=== arch@archaludon_ex vs rule:v10,noS@lucario_v10 matches=250 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs rule:v10,noS@lucario_v10 [lucario_v10], 250 paired matches (500 games)...
  match 0 seat0: winner=1 turns=16 selects=127
  match 0 seat1: winner=1 turns=16 selects=95
  match 1 seat0: winner=0 turns=15 selects=135
  match 1 seat1: winner=0 turns=17 selects=154
  match 2 seat0: winner=1 turns=10 selects=104
  match 2 seat1: winner=0 turns=13 selects=143
  match 3 seat0: winner=1 turns=8 selects=86
  match 3 seat1: winner=0 turns=11 selects=132
  match 4 seat0: winner=1 turns=16 selects=118
  match 4 seat1: winner=0 turns=5 selects=70
  match 5 seat0: winner=1 turns=4 selects=54
  match 5 seat1: winner=0 turns=15 selects=155
  match 6 seat0: winner=1 turns=8 selects=70
  match 6 seat1: winner=1 turns=10 selects=93
  match 7 seat0: winner=1 turns=15 selects=154
  match 7 seat1: winner=0 turns=7 selects=98
  match 8 seat0: winner=0 turns=13 selects=126
  match 8 seat1: winner=0 turns=7 selects=70
  match 9 seat0: winner=1 turns=14 selects=152
  match 9 seat1: winner=1 turns=12 selects=111
  match 10 seat0: winner=0 turns=11 selects=132
  match 10 seat1: winner=0 turns=19 selects=145
  match 11 seat0: winner=0 turns=15 selects=151
  match 11 seat1: winner=1 turns=14 selects=154
  match 12 seat0: winner=1 turns=8 selects=83
  match 12 seat1: winner=1 turns=16 selects=146
  match 13 seat0: winner=0 turns=11 selects=121
  match 13 seat1: winner=1 turns=12 selects=104
  match 14 seat0: winner=1 turns=8 selects=67
  match 14 seat1: winner=0 turns=5 selects=57
  match 15 seat0: winner=1 turns=12 selects=117
  match 15 seat1: winner=0 turns=17 selects=174
  match 16 seat0: winner=1 turns=10 selects=94
  match 16 seat1: winner=0 turns=14 selects=135
  match 17 seat0: winner=1 turns=20 selects=144
  match 17 seat1: winner=1 turns=12 selects=124
  match 18 seat0: winner=1 turns=10 selects=97
  match 18 seat1: winner=0 turns=5 selects=66
  match 19 seat0: winner=1 turns=13 selects=139
  match 19 seat1: winner=0 turns=14 selects=146
  match 20 seat0: winner=1 turns=12 selects=138
