=== cru@crustle vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 0 seat0: winner=1 turns=18 selects=165
  match 0 seat1: winner=1 turns=32 selects=323
  match 1 seat0: winner=1 turns=14 selects=159
  match 1 seat1: winner=0 turns=17 selects=225
  match 2 seat0: winner=1 turns=20 selects=260
  match 2 seat1: winner=1 turns=16 selects=205
  match 3 seat0: winner=1 turns=18 selects=197
  match 3 seat1: winner=0 turns=17 selects=172
  match 4 seat0: winner=1 turns=16 selects=187
  match 4 seat1: winner=0 turns=20 selects=224
  match 5 seat0: winner=1 turns=22 selects=208
  match 5 seat1: winner=1 turns=36 selects=164
  match 6 seat0: winner=1 turns=12 selects=145
  match 6 seat1: winner=0 turns=13 selects=124
  match 7 seat0: winner=0 turns=19 selects=210
  match 7 seat1: winner=0 turns=31 selects=233
  match 8 seat0: winner=0 turns=23 selects=202
  match 8 seat1: winner=0 turns=15 selects=186
  match 9 seat0: winner=1 turns=18 selects=195
  match 9 seat1: winner=1 turns=31 selects=151
  match 10 seat0: winner=1 turns=16 selects=187
  match 10 seat1: winner=1 turns=18 selects=120
  match 11 seat0: winner=1 turns=16 selects=196
  match 11 seat1: winner=0 turns=15 selects=139
  match 12 seat0: winner=1 turns=20 selects=210
  match 12 seat1: winner=1 turns=14 selects=152
  match 13 seat0: winner=0 turns=17 selects=170
  match 13 seat1: winner=1 turns=26 selects=236
  match 14 seat0: winner=0 turns=17 selects=168
  match 14 seat1: winner=1 turns=16 selects=156
  match 15 seat0: winner=0 turns=17 selects=170
  match 15 seat1: winner=0 turns=14 selects=188
  match 16 seat0: winner=1 turns=22 selects=200
  match 16 seat1: winner=1 turns=22 selects=144
  match 17 seat0: winner=0 turns=19 selects=176
  match 17 seat1: winner=1 turns=16 selects=145
  match 18 seat0: winner=1 turns=16 selects=160
  match 18 seat1: winner=1 turns=34 selects=230
  match 19 seat0: winner=1 turns=16 selects=188
  match 19 seat1: winner=0 turns=15 selects=218
  match 20 seat0: winner=1 turns=16 selects=178
  match 20 seat1: winner=1 turns=18 selects=148
  match 21 seat0: winner=0 turns=19 selects=140
  match 21 seat1: winner=1 turns=57 selects=153
  match 22 seat0: winner=1 turns=12 selects=147
  match 22 seat1: winner=1 turns=33 selects=202
  match 23 seat0: winner=0 turns=40 selects=151
  match 23 seat1: winner=1 turns=16 selects=130
  match 24 seat0: winner=0 turns=52 selects=198
  match 24 seat1: winner=1 turns=16 selects=199
  match 25 seat0: winner=1 turns=16 selects=144
  match 25 seat1: winner=1 turns=26 selects=192
  match 26 seat0: winner=1 turns=16 selects=203
  match 26 seat1: winner=0 turns=25 selects=253
  match 27 seat0: winner=1 turns=22 selects=257
  match 27 seat1: winner=1 turns=16 selects=195
  match 28 seat0: winner=0 turns=15 selects=135
  match 28 seat1: winner=1 turns=18 selects=202
  match 29 seat0: winner=1 turns=14 selects=155
  match 29 seat1: winner=1 turns=18 selects=163
  match 30 seat0: winner=0 turns=15 selects=178
  match 30 seat1: winner=0 turns=13 selects=154
  match 31 seat0: winner=0 turns=17 selects=126
  match 31 seat1: winner=1 turns=16 selects=125
  match 32 seat0: winner=1 turns=10 selects=120
  match 32 seat1: winner=1 turns=20 selects=209
  match 33 seat0: winner=0 turns=17 selects=159
  match 33 seat1: winner=1 turns=16 selects=171
  match 34 seat0: winner=0 turns=19 selects=170
  match 34 seat1: winner=1 turns=20 selects=202
  match 35 seat0: winner=1 turns=20 selects=187
  match 35 seat1: winner=0 turns=11 selects=120
  match 36 seat0: winner=1 turns=12 selects=150
  match 36 seat1: winner=0 turns=17 selects=236
  match 37 seat0: winner=0 turns=19 selects=217
  match 37 seat1: winner=0 turns=13 selects=168
  match 38 seat0: winner=0 turns=34 selects=200
  match 38 seat1: winner=0 turns=9 selects=117
  match 39 seat0: winner=1 turns=12 selects=134
  match 39 seat1: winner=1 turns=16 selects=178
  match 40 seat0: winner=0 turns=15 selects=146
  match 40 seat1: winner=0 turns=15 selects=155
  match 41 seat0: winner=0 turns=17 selects=168
  match 41 seat1: winner=1 turns=18 selects=202
  match 42 seat0: winner=0 turns=17 selects=174
  match 42 seat1: winner=0 turns=11 selects=115
  match 43 seat0: winner=0 turns=9 selects=90
  match 43 seat1: winner=1 turns=16 selects=169
  match 44 seat0: winner=1 turns=16 selects=183
  match 44 seat1: winner=1 turns=20 selects=229
  match 45 seat0: winner=1 turns=20 selects=234
  match 45 seat1: winner=0 turns=17 selects=196
  match 46 seat0: winner=0 turns=38 selects=256
  match 46 seat1: winner=1 turns=22 selects=220
  match 47 seat0: winner=0 turns=17 selects=143
  match 47 seat1: winner=0 turns=11 selects=139
  match 48 seat0: winner=1 turns=16 selects=189
  match 48 seat1: winner=1 turns=23 selects=171
  match 49 seat0: winner=1 turns=16 selects=145
  match 49 seat1: winner=1 turns=24 selects=222
  match 50 seat0: winner=0 turns=46 selects=204
  match 50 seat1: winner=0 turns=13 selects=182
  match 51 seat0: winner=0 turns=15 selects=118
  match 51 seat1: winner=1 turns=18 selects=172
  match 52 seat0: winner=1 turns=18 selects=226
  match 52 seat1: winner=0 turns=9 selects=109
  match 53 seat0: winner=1 turns=18 selects=202
  match 53 seat1: winner=1 turns=16 selects=161
  match 54 seat0: winner=1 turns=17 selects=189
  match 54 seat1: winner=0 turns=11 selects=154
  match 55 seat0: winner=1 turns=12 selects=152
  match 55 seat1: winner=1 turns=45 selects=214
  match 56 seat0: winner=0 turns=17 selects=161
  match 56 seat1: winner=0 turns=7 selects=92
  match 57 seat0: winner=1 turns=12 selects=164
  match 57 seat1: winner=0 turns=17 selects=181
  match 58 seat0: winner=1 turns=22 selects=178
  match 58 seat1: winner=1 turns=20 selects=205
  match 59 seat0: winner=0 turns=28 selects=212
  match 59 seat1: winner=0 turns=15 selects=144
  match 60 seat0: winner=0 turns=23 selects=206
  match 60 seat1: winner=0 turns=13 selects=148
  match 61 seat0: winner=0 turns=17 selects=142
  match 61 seat1: winner=1 turns=18 selects=134
  match 62 seat0: winner=0 turns=17 selects=209
  match 62 seat1: winner=1 turns=16 selects=174
  match 63 seat0: winner=0 turns=24 selects=152
  match 63 seat1: winner=0 turns=13 selects=148
  match 64 seat0: winner=0 turns=15 selects=144
  match 64 seat1: winner=0 turns=13 selects=145
  match 65 seat0: winner=0 turns=17 selects=161
  match 65 seat1: winner=0 turns=13 selects=147
  match 66 seat0: winner=0 turns=19 selects=191
  match 66 seat1: winner=1 turns=39 selects=206
  match 67 seat0: winner=1 turns=8 selects=85
  match 67 seat1: winner=0 turns=19 selects=166
  match 68 seat0: winner=1 turns=12 selects=173
  match 68 seat1: winner=0 turns=13 selects=128
  match 69 seat0: winner=1 turns=18 selects=173
  match 69 seat1: winner=0 turns=11 selects=116
  match 70 seat0: winner=0 turns=17 selects=151
  match 70 seat1: winner=1 turns=16 selects=180
  match 71 seat0: winner=0 turns=19 selects=171
  match 71 seat1: winner=0 turns=13 selects=145
  match 72 seat0: winner=0 turns=23 selects=218
  match 72 seat1: winner=0 turns=13 selects=142
  match 73 seat0: winner=1 turns=14 selects=138
  match 73 seat1: winner=1 turns=22 selects=197
  match 74 seat0: winner=0 turns=23 selects=198
  match 74 seat1: winner=1 turns=16 selects=170
  match 75 seat0: winner=0 turns=36 selects=198
  match 75 seat1: winner=1 turns=16 selects=178
  match 76 seat0: winner=0 turns=15 selects=155
  match 76 seat1: winner=0 turns=25 selects=205
  match 77 seat0: winner=1 turns=22 selects=218
  match 77 seat1: winner=0 turns=15 selects=149
  match 78 seat0: winner=1 turns=10 selects=104
  match 78 seat1: winner=1 turns=29 selects=240
  match 79 seat0: winner=0 turns=17 selects=194
  match 79 seat1: winner=0 turns=13 selects=148
  match 80 seat0: winner=1 turns=14 selects=147
  match 80 seat1: winner=0 turns=11 selects=136
  match 81 seat0: winner=0 turns=36 selects=173
  match 81 seat1: winner=0 turns=5 selects=60
  match 82 seat0: winner=0 turns=13 selects=112
  match 82 seat1: winner=1 turns=10 selects=109
  match 83 seat0: winner=1 turns=14 selects=183
  match 83 seat1: winner=0 turns=21 selects=203
  match 84 seat0: winner=0 turns=19 selects=172
  match 84 seat1: winner=0 turns=43 selects=248
  match 85 seat0: winner=1 turns=15 selects=154
  match 85 seat1: winner=0 turns=13 selects=133
  match 86 seat0: winner=1 turns=22 selects=237
  match 86 seat1: winner=0 turns=7 selects=97
  match 87 seat0: winner=0 turns=15 selects=142
  match 87 seat1: winner=0 turns=15 selects=174
  match 88 seat0: winner=1 turns=18 selects=188
  match 88 seat1: winner=1 turns=16 selects=114
  match 89 seat0: winner=1 turns=16 selects=178
  match 89 seat1: winner=0 turns=17 selects=198
  match 90 seat0: winner=0 turns=15 selects=101
  match 90 seat1: winner=1 turns=22 selects=181
  match 91 seat0: winner=1 turns=12 selects=161
  match 91 seat1: winner=1 turns=22 selects=240
  match 92 seat0: winner=0 turns=19 selects=159
  match 92 seat1: winner=0 turns=13 selects=147
  match 93 seat0: winner=0 turns=19 selects=116
  match 93 seat1: winner=0 turns=9 selects=115
  match 94 seat0: winner=1 turns=16 selects=170
  match 94 seat1: winner=0 turns=11 selects=122
  match 95 seat0: winner=1 turns=10 selects=125
  match 95 seat1: winner=0 turns=13 selects=162
  match 96 seat0: winner=1 turns=46 selects=215
  match 96 seat1: winner=0 turns=17 selects=233
  match 97 seat0: winner=1 turns=12 selects=150
  match 97 seat1: winner=1 turns=16 selects=83
  match 98 seat0: winner=0 turns=15 selects=154
  match 98 seat1: winner=1 turns=30 selects=264
  match 99 seat0: winner=0 turns=48 selects=168
  match 99 seat1: winner=0 turns=21 selects=195
  match 100 seat0: winner=1 turns=14 selects=161
  match 100 seat1: winner=1 turns=22 selects=224
  match 101 seat0: winner=1 turns=16 selects=165
  match 101 seat1: winner=1 turns=16 selects=195
  match 102 seat0: winner=1 turns=14 selects=178
  match 102 seat1: winner=1 turns=35 selects=145
  match 103 seat0: winner=0 turns=15 selects=171
  match 103 seat1: winner=1 turns=16 selects=164
  match 104 seat0: winner=1 turns=14 selects=177
  match 104 seat1: winner=0 turns=11 selects=114
  match 105 seat0: winner=0 turns=17 selects=163
  match 105 seat1: winner=0 turns=13 selects=157
  match 106 seat0: winner=1 turns=12 selects=162
  match 106 seat1: winner=0 turns=11 selects=136
  match 107 seat0: winner=1 turns=30 selects=214
  match 107 seat1: winner=1 turns=29 selects=208
  match 108 seat0: winner=0 turns=54 selects=257
  match 108 seat1: winner=1 turns=20 selects=187
  match 109 seat0: winner=1 turns=16 selects=138
  match 109 seat1: winner=0 turns=9 selects=124
  match 110 seat0: winner=2 turns=17 selects=181
  match 110 seat1: winner=1 turns=39 selects=164
  match 111 seat0: winner=0 turns=15 selects=145
  match 111 seat1: winner=1 turns=26 selects=204
  match 112 seat0: winner=1 turns=10 selects=94
  match 112 seat1: winner=1 turns=49 selects=173
  match 113 seat0: winner=1 turns=14 selects=161
  match 113 seat1: winner=1 turns=18 selects=147
  match 114 seat0: winner=1 turns=16 selects=177
  match 114 seat1: winner=1 turns=20 selects=180
  match 115 seat0: winner=0 turns=13 selects=157
  match 115 seat1: winner=1 turns=16 selects=150
  match 116 seat0: winner=1 turns=14 selects=158
  match 116 seat1: winner=0 turns=15 selects=166
  match 117 seat0: winner=1 turns=10 selects=130
  match 117 seat1: winner=1 turns=20 selects=232
  match 118 seat0: winner=1 turns=14 selects=144
  match 118 seat1: winner=0 turns=13 selects=135
  match 119 seat0: winner=0 turns=9 selects=43
  match 119 seat1: winner=0 turns=13 selects=155
  match 120 seat0: winner=1 turns=16 selects=174
  match 120 seat1: winner=1 turns=18 selects=184
  match 121 seat0: winner=1 turns=14 selects=171
  match 121 seat1: winner=0 turns=9 selects=90
  match 122 seat0: winner=1 turns=12 selects=137
  match 122 seat1: winner=1 turns=25 selects=190
  match 123 seat0: winner=1 turns=10 selects=134
  match 123 seat1: winner=0 turns=15 selects=186
  match 124 seat0: winner=1 turns=14 selects=155
  match 124 seat1: winner=0 turns=9 selects=86
  match 125 seat0: winner=1 turns=16 selects=202
  match 125 seat1: winner=1 turns=16 selects=190
  match 126 seat0: winner=0 turns=21 selects=185
  match 126 seat1: winner=0 turns=19 selects=179
  match 127 seat0: winner=1 turns=10 selects=130
  match 127 seat1: winner=1 turns=18 selects=160
  match 128 seat0: winner=0 turns=34 selects=189
  match 128 seat1: winner=0 turns=21 selects=208
  match 129 seat0: winner=1 turns=16 selects=161
  match 129 seat1: winner=1 turns=24 selects=226
  match 130 seat0: winner=1 turns=8 selects=96
  match 130 seat1: winner=0 turns=11 selects=159
  match 131 seat0: winner=1 turns=16 selects=192
  match 131 seat1: winner=1 turns=18 selects=162
  match 132 seat0: winner=0 turns=25 selects=230
  match 132 seat1: winner=0 turns=11 selects=121
  match 133 seat0: winner=1 turns=21 selects=211
  match 133 seat1: winner=1 turns=16 selects=176
  match 134 seat0: winner=1 turns=10 selects=138
  match 134 seat1: winner=1 turns=10 selects=102
  match 135 seat0: winner=0 turns=23 selects=198
  match 135 seat1: winner=1 turns=16 selects=163
  match 136 seat0: winner=1 turns=13 selects=171
  match 136 seat1: winner=0 turns=9 selects=94
  match 137 seat0: winner=0 turns=19 selects=188
  match 137 seat1: winner=0 turns=16 selects=201
  match 138 seat0: winner=1 turns=16 selects=141
  match 138 seat1: winner=0 turns=15 selects=161
  match 139 seat0: winner=1 turns=20 selects=234
  match 139 seat1: winner=1 turns=27 selects=142
  match 140 seat0: winner=0 turns=15 selects=125
