=== cru@crustle vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc#4790c469 [grimmsnarl], 200 paired matches (400 games)...
  match 0 seat0: winner=1 turns=19 selects=181
  match 0 seat1: winner=1 turns=16 selects=165
  match 1 seat0: winner=1 turns=10 selects=127
  match 1 seat1: winner=0 turns=13 selects=132
  match 2 seat0: winner=1 turns=16 selects=167
  match 2 seat1: winner=0 turns=19 selects=242
  match 3 seat0: winner=0 turns=32 selects=198
  match 3 seat1: winner=0 turns=15 selects=171
  match 4 seat0: winner=0 turns=17 selects=133
  match 4 seat1: winner=1 turns=23 selects=227
  match 5 seat0: winner=1 turns=10 selects=118
  match 5 seat1: winner=1 turns=18 selects=162
  match 6 seat0: winner=1 turns=12 selects=136
  match 6 seat1: winner=0 turns=19 selects=208
  match 7 seat0: winner=0 turns=23 selects=215
  match 7 seat1: winner=1 turns=26 selects=222
  match 8 seat0: winner=1 turns=18 selects=257
  match 8 seat1: winner=1 turns=18 selects=212
  match 9 seat0: winner=1 turns=12 selects=148
  match 9 seat1: winner=1 turns=14 selects=162
  match 10 seat0: winner=1 turns=10 selects=91
  match 10 seat1: winner=0 turns=19 selects=233
  match 11 seat0: winner=1 turns=14 selects=175
  match 11 seat1: winner=0 turns=17 selects=178
  match 12 seat0: winner=1 turns=17 selects=200
  match 12 seat1: winner=1 turns=14 selects=108
  match 13 seat0: winner=0 turns=19 selects=238
  match 13 seat1: winner=1 turns=30 selects=222
  match 14 seat0: winner=0 turns=27 selects=214
  match 14 seat1: winner=1 turns=25 selects=208
  match 15 seat0: winner=0 turns=21 selects=168
  match 15 seat1: winner=0 turns=19 selects=174
  match 16 seat0: winner=1 turns=16 selects=201
  match 16 seat1: winner=1 turns=16 selects=158
  match 17 seat0: winner=0 turns=17 selects=149
  match 17 seat1: winner=0 turns=15 selects=168
  match 18 seat0: winner=1 turns=18 selects=210
  match 18 seat1: winner=1 turns=67 selects=205
  match 19 seat0: winner=1 turns=12 selects=157
  match 19 seat1: winner=1 turns=14 selects=105
  match 20 seat0: winner=1 turns=18 selects=220
  match 20 seat1: winner=0 turns=9 selects=93
  match 21 seat0: winner=1 turns=46 selects=331
  match 21 seat1: winner=0 turns=9 selects=104
  match 22 seat0: winner=0 turns=17 selects=164
  match 22 seat1: winner=1 turns=16 selects=160
  match 23 seat0: winner=0 turns=15 selects=159
  match 23 seat1: winner=0 turns=15 selects=171
  match 24 seat0: winner=1 turns=16 selects=168
  match 24 seat1: winner=1 turns=16 selects=210
  match 25 seat0: winner=1 turns=22 selects=253
  match 25 seat1: winner=1 turns=39 selects=160
  match 26 seat0: winner=1 turns=14 selects=170
  match 26 seat1: winner=0 turns=17 selects=191
  match 27 seat0: winner=0 turns=15 selects=135
  match 27 seat1: winner=0 turns=19 selects=219
