=== cru@crustle vs rule:alakazam5@alakazam5 matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 0 seat0: winner=0 turns=23 selects=169
  match 0 seat1: winner=0 turns=5 selects=50
  match 1 seat0: winner=0 turns=22 selects=126
  match 1 seat1: winner=0 turns=7 selects=65
  match 2 seat0: winner=1 turns=10 selects=85
  match 2 seat1: winner=1 turns=24 selects=123
  match 3 seat0: winner=0 turns=9 selects=39
  match 3 seat1: winner=0 turns=30 selects=124
  match 4 seat0: winner=1 turns=12 selects=99
  match 4 seat1: winner=1 turns=5 selects=21
  match 5 seat0: winner=1 turns=8 selects=84
  match 5 seat1: winner=0 turns=13 selects=96
  match 6 seat0: winner=1 turns=6 selects=52
  match 6 seat1: winner=1 turns=27 selects=97
  match 7 seat0: winner=1 turns=14 selects=106
  match 7 seat1: winner=0 turns=15 selects=143
  match 8 seat0: winner=0 turns=32 selects=112
  match 8 seat1: winner=1 turns=25 selects=142
  match 9 seat0: winner=1 turns=14 selects=129
  match 9 seat1: winner=0 turns=5 selects=52
  match 10 seat0: winner=1 turns=12 selects=101
  match 10 seat1: winner=1 turns=31 selects=135
  match 11 seat0: winner=0 turns=36 selects=153
  match 11 seat1: winner=0 turns=11 selects=90
  match 12 seat0: winner=0 turns=28 selects=131
  match 12 seat1: winner=0 turns=5 selects=51
  match 13 seat0: winner=1 turns=14 selects=140
  match 13 seat1: winner=0 turns=9 selects=80
  match 14 seat0: winner=0 turns=25 selects=161
  match 14 seat1: winner=1 turns=35 selects=111
  match 15 seat0: winner=0 turns=13 selects=72
  match 15 seat1: winner=1 turns=19 selects=139
  match 16 seat0: winner=1 turns=8 selects=82
  match 16 seat1: winner=1 turns=33 selects=124
  match 17 seat0: winner=1 turns=6 selects=70
  match 17 seat1: winner=0 turns=11 selects=98
  match 18 seat0: winner=0 turns=33 selects=163
  match 18 seat1: winner=0 turns=7 selects=48
  match 19 seat0: winner=0 turns=32 selects=120
  match 19 seat1: winner=0 turns=3 selects=36
  match 20 seat0: winner=0 turns=23 selects=124
  match 20 seat1: winner=0 turns=5 selects=72
  match 21 seat0: winner=1 turns=12 selects=129
  match 21 seat1: winner=1 turns=23 selects=130
  match 22 seat0: winner=1 turns=12 selects=103
  match 22 seat1: winner=0 turns=7 selects=70
  match 23 seat0: winner=0 turns=44 selects=137
  match 23 seat1: winner=1 turns=25 selects=139
  match 24 seat0: winner=1 turns=18 selects=127
  match 24 seat1: winner=1 turns=21 selects=141
  match 25 seat0: winner=0 turns=21 selects=142
  match 25 seat1: winner=1 turns=22 selects=141
  match 26 seat0: winner=0 turns=20 selects=129
  match 26 seat1: winner=0 turns=11 selects=103
  match 27 seat0: winner=0 turns=30 selects=137
  match 27 seat1: winner=1 turns=17 selects=122
  match 28 seat0: winner=0 turns=15 selects=115
  match 28 seat1: winner=0 turns=11 selects=92
  match 29 seat0: winner=0 turns=29 selects=140
  match 29 seat1: winner=1 turns=41 selects=146
  match 30 seat0: winner=0 turns=32 selects=103
  match 30 seat1: winner=0 turns=13 selects=91
  match 31 seat0: winner=0 turns=25 selects=160
  match 31 seat1: winner=0 turns=11 selects=105
  match 32 seat0: winner=1 turns=24 selects=119
  match 32 seat1: winner=1 turns=19 selects=130
  match 33 seat0: winner=1 turns=8 selects=63
  match 33 seat1: winner=0 turns=11 selects=95
  match 34 seat0: winner=0 turns=21 selects=134
  match 34 seat1: winner=1 turns=29 selects=127
  match 35 seat0: winner=0 turns=24 selects=119
  match 35 seat1: winner=0 turns=9 selects=101
  match 36 seat0: winner=0 turns=16 selects=120
  match 36 seat1: winner=1 turns=21 selects=127
  match 37 seat0: winner=0 turns=22 selects=104
  match 37 seat1: winner=0 turns=11 selects=103
  match 38 seat0: winner=0 turns=20 selects=124
  match 38 seat1: winner=0 turns=9 selects=85
  match 39 seat0: winner=0 turns=25 selects=123
  match 39 seat1: winner=1 turns=19 selects=139
  match 40 seat0: winner=1 turns=10 selects=88
  match 40 seat1: winner=1 turns=25 selects=142
  match 41 seat0: winner=0 turns=27 selects=167
  match 41 seat1: winner=0 turns=5 selects=65
  match 42 seat0: winner=1 turns=14 selects=120
  match 42 seat1: winner=1 turns=20 selects=132
  match 43 seat0: winner=0 turns=21 selects=130
  match 43 seat1: winner=1 turns=20 selects=128
  match 44 seat0: winner=0 turns=24 selects=134
  match 44 seat1: winner=0 turns=5 selects=63
  match 45 seat0: winner=1 turns=8 selects=73
  match 45 seat1: winner=1 turns=13 selects=116
  match 46 seat0: winner=0 turns=21 selects=158
  match 46 seat1: winner=0 turns=11 selects=101
  match 47 seat0: winner=1 turns=20 selects=142
  match 47 seat1: winner=1 turns=30 selects=150
  match 48 seat0: winner=0 turns=30 selects=120
  match 48 seat1: winner=0 turns=11 selects=82
  match 49 seat0: winner=1 turns=10 selects=87
  match 49 seat1: winner=0 turns=11 selects=96
  match 50 seat0: winner=1 turns=20 selects=114
  match 50 seat1: winner=1 turns=19 selects=114
  match 51 seat0: winner=0 turns=23 selects=105
  match 51 seat1: winner=1 turns=27 selects=159
  match 52 seat0: winner=1 turns=14 selects=120
  match 52 seat1: winner=1 turns=20 selects=136
  match 53 seat0: winner=1 turns=14 selects=112
  match 53 seat1: winner=0 turns=13 selects=103
  match 54 seat0: winner=0 turns=17 selects=79
  match 54 seat1: winner=1 turns=19 selects=142
  match 55 seat0: winner=1 turns=14 selects=103
  match 55 seat1: winner=0 turns=7 selects=94
  match 56 seat0: winner=1 turns=10 selects=94
  match 56 seat1: winner=0 turns=15 selects=118
  match 57 seat0: winner=1 turns=10 selects=82
  match 57 seat1: winner=0 turns=13 selects=113
  match 58 seat0: winner=1 turns=12 selects=104
  match 58 seat1: winner=0 turns=13 selects=95
  match 59 seat0: winner=0 turns=22 selects=160
  match 59 seat1: winner=1 turns=28 selects=140
  match 60 seat0: winner=0 turns=22 selects=141
  match 60 seat1: winner=0 turns=9 selects=87
  match 61 seat0: winner=1 turns=10 selects=106
  match 61 seat1: winner=1 turns=23 selects=152
  match 62 seat0: winner=0 turns=27 selects=127
  match 62 seat1: winner=0 turns=7 selects=79
  match 63 seat0: winner=0 turns=18 selects=116
  match 63 seat1: winner=1 turns=16 selects=101
  match 64 seat0: winner=1 turns=12 selects=107
  match 64 seat1: winner=1 turns=30 selects=131
  match 65 seat0: winner=0 turns=19 selects=148
  match 65 seat1: winner=0 turns=19 selects=118
  match 66 seat0: winner=0 turns=32 selects=139
  match 66 seat1: winner=1 turns=25 selects=158
  match 67 seat0: winner=0 turns=18 selects=105
  match 67 seat1: winner=1 turns=5 selects=25
  match 68 seat0: winner=1 turns=14 selects=140
  match 68 seat1: winner=1 turns=43 selects=122
  match 69 seat0: winner=1 turns=6 selects=63
  match 69 seat1: winner=0 turns=11 selects=101
  match 70 seat0: winner=0 turns=24 selects=121
  match 70 seat1: winner=0 turns=17 selects=115
  match 71 seat0: winner=0 turns=25 selects=135
  match 71 seat1: winner=1 turns=43 selects=112
  match 72 seat0: winner=1 turns=14 selects=81
  match 72 seat1: winner=0 turns=11 selects=93
  match 73 seat0: winner=1 turns=12 selects=119
  match 73 seat1: winner=1 turns=18 selects=125
  match 74 seat0: winner=1 turns=6 selects=64
  match 74 seat1: winner=1 turns=26 selects=138
  match 75 seat0: winner=0 turns=22 selects=129
  match 75 seat1: winner=0 turns=9 selects=79
  match 76 seat0: winner=1 turns=29 selects=134
  match 76 seat1: winner=1 turns=15 selects=141
  match 77 seat0: winner=0 turns=32 selects=110
  match 77 seat1: winner=0 turns=9 selects=85
  match 78 seat0: winner=1 turns=10 selects=74
  match 78 seat1: winner=1 turns=8 selects=26
  match 79 seat0: winner=1 turns=6 selects=72
  match 79 seat1: winner=1 turns=23 selects=118
  match 80 seat0: winner=1 turns=6 selects=66
  match 80 seat1: winner=1 turns=10 selects=78
  match 81 seat0: winner=0 turns=25 selects=120
  match 81 seat1: winner=0 turns=7 selects=75
  match 82 seat0: winner=1 turns=14 selects=108
  match 82 seat1: winner=1 turns=28 selects=153
  match 83 seat0: winner=1 turns=12 selects=105
  match 83 seat1: winner=1 turns=26 selects=143
  match 84 seat0: winner=1 turns=14 selects=116
  match 84 seat1: winner=0 turns=13 selects=107
  match 85 seat0: winner=1 turns=12 selects=93
  match 85 seat1: winner=0 turns=11 selects=77
  match 86 seat0: winner=1 turns=10 selects=93
  match 86 seat1: winner=1 turns=17 selects=114
  match 87 seat0: winner=0 turns=21 selects=134
  match 87 seat1: winner=1 turns=23 selects=121
  match 88 seat0: winner=0 turns=32 selects=126
  match 88 seat1: winner=1 turns=21 selects=131
  match 89 seat0: winner=0 turns=26 selects=178
  match 89 seat1: winner=1 turns=23 selects=138
  match 90 seat0: winner=0 turns=30 selects=143
  match 90 seat1: winner=0 turns=11 selects=92
  match 91 seat0: winner=0 turns=22 selects=134
  match 91 seat1: winner=0 turns=11 selects=106
  match 92 seat0: winner=0 turns=19 selects=81
  match 92 seat1: winner=1 turns=29 selects=98
  match 93 seat0: winner=0 turns=16 selects=133
  match 93 seat1: winner=0 turns=11 selects=83
  match 94 seat0: winner=0 turns=22 selects=120
  match 94 seat1: winner=1 turns=15 selects=143
  match 95 seat0: winner=0 turns=16 selects=125
  match 95 seat1: winner=0 turns=5 selects=72
  match 96 seat0: winner=1 turns=10 selects=88
  match 96 seat1: winner=1 turns=26 selects=163
  match 97 seat0: winner=0 turns=17 selects=142
  match 97 seat1: winner=1 turns=23 selects=128
  match 98 seat0: winner=1 turns=12 selects=93
  match 98 seat1: winner=1 turns=37 selects=123
  match 99 seat0: winner=1 turns=14 selects=118
  match 99 seat1: winner=1 turns=15 selects=102
  match 100 seat0: winner=0 turns=34 selects=119
  match 100 seat1: winner=1 turns=31 selects=172
  match 101 seat0: winner=0 turns=30 selects=120
  match 101 seat1: winner=0 turns=5 selects=65
  match 102 seat0: winner=0 turns=18 selects=144
  match 102 seat1: winner=0 turns=13 selects=93
  match 103 seat0: winner=1 turns=14 selects=102
  match 103 seat1: winner=0 turns=13 selects=116
  match 104 seat0: winner=0 turns=24 selects=133
  match 104 seat1: winner=1 turns=29 selects=97
  match 105 seat0: winner=1 turns=10 selects=77
  match 105 seat1: winner=0 turns=11 selects=103
  match 106 seat0: winner=0 turns=26 selects=119
  match 106 seat1: winner=0 turns=9 selects=84
  match 107 seat0: winner=1 turns=12 selects=103
  match 107 seat1: winner=1 turns=27 selects=110
  match 108 seat0: winner=0 turns=24 selects=127
  match 108 seat1: winner=1 turns=35 selects=150
  match 109 seat0: winner=1 turns=8 selects=78
  match 109 seat1: winner=0 turns=11 selects=92
  match 110 seat0: winner=0 turns=28 selects=146
  match 110 seat1: winner=1 turns=29 selects=116
  match 111 seat0: winner=1 turns=20 selects=162
  match 111 seat1: winner=1 turns=20 selects=148
  match 112 seat0: winner=1 turns=18 selects=120
  match 112 seat1: winner=1 turns=19 selects=131
  match 113 seat0: winner=1 turns=28 selects=114
  match 113 seat1: winner=0 turns=9 selects=86
  match 114 seat0: winner=1 turns=10 selects=86
  match 114 seat1: winner=1 turns=21 selects=104
  match 115 seat0: winner=1 turns=8 selects=75
  match 115 seat1: winner=1 turns=19 selects=114
  match 116 seat0: winner=0 turns=23 selects=145
  match 116 seat1: winner=1 turns=33 selects=127
  match 117 seat0: winner=0 turns=24 selects=138
  match 117 seat1: winner=0 turns=9 selects=74
  match 118 seat0: winner=1 turns=16 selects=122
  match 118 seat1: winner=0 turns=7 selects=69
  match 119 seat0: winner=0 turns=32 selects=120
  match 119 seat1: winner=0 turns=13 selects=99
  match 120 seat0: winner=1 turns=10 selects=84
  match 120 seat1: winner=0 turns=11 selects=94
  match 121 seat0: winner=1 turns=16 selects=117
  match 121 seat1: winner=0 turns=15 selects=108
  match 122 seat0: winner=0 turns=21 selects=143
  match 122 seat1: winner=0 turns=11 selects=96
  match 123 seat0: winner=0 turns=28 selects=109
  match 123 seat1: winner=0 turns=15 selects=112
  match 124 seat0: winner=0 turns=20 selects=147
  match 124 seat1: winner=1 turns=17 selects=119
  match 125 seat0: winner=0 turns=28 selects=134
  match 125 seat1: winner=0 turns=9 selects=82
  match 126 seat0: winner=1 turns=14 selects=117
  match 126 seat1: winner=0 turns=11 selects=86
  match 127 seat0: winner=0 turns=36 selects=117
  match 127 seat1: winner=0 turns=9 selects=92
  match 128 seat0: winner=0 turns=26 selects=150
  match 128 seat1: winner=0 turns=13 selects=120
  match 129 seat0: winner=0 turns=23 selects=140
  match 129 seat1: winner=0 turns=7 selects=79
  match 130 seat0: winner=0 turns=19 selects=153
  match 130 seat1: winner=1 turns=23 selects=135
  match 131 seat0: winner=0 turns=22 selects=136
  match 131 seat1: winner=1 turns=33 selects=108
  match 132 seat0: winner=0 turns=30 selects=124
  match 132 seat1: winner=1 turns=22 selects=128
  match 133 seat0: winner=0 turns=25 selects=114
