=== cru@crustle vs rule:dragapult@dragapult_ex matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 0 seat0: winner=0 turns=36 selects=191
  match 0 seat1: winner=1 turns=20 selects=118
  match 1 seat0: winner=0 turns=19 selects=153
  match 1 seat1: winner=1 turns=21 selects=122
  match 2 seat0: winner=0 turns=6 selects=26
  match 2 seat1: winner=1 turns=29 selects=174
  match 3 seat0: winner=0 turns=36 selects=160
  match 3 seat1: winner=1 turns=13 selects=101
  match 4 seat0: winner=0 turns=23 selects=139
  match 4 seat1: winner=1 turns=34 selects=172
  match 5 seat0: winner=0 turns=21 selects=153
  match 5 seat1: winner=1 turns=29 selects=182
  match 6 seat0: winner=0 turns=26 selects=189
  match 6 seat1: winner=0 turns=18 selects=181
  match 7 seat0: winner=0 turns=32 selects=174
  match 7 seat1: winner=1 turns=36 selects=200
  match 8 seat0: winner=0 turns=32 selects=145
  match 8 seat1: winner=1 turns=32 selects=166
  match 9 seat0: winner=0 turns=13 selects=83
  match 9 seat1: winner=1 turns=32 selects=142
  match 10 seat0: winner=0 turns=30 selects=140
  match 10 seat1: winner=1 turns=34 selects=173
  match 11 seat0: winner=1 turns=10 selects=116
  match 11 seat1: winner=1 turns=38 selects=180
  match 12 seat0: winner=0 turns=19 selects=135
  match 12 seat1: winner=1 turns=38 selects=147
  match 13 seat0: winner=0 turns=23 selects=161
  match 13 seat1: winner=1 turns=36 selects=158
  match 14 seat0: winner=0 turns=9 selects=71
  match 14 seat1: winner=1 turns=24 selects=172
  match 15 seat0: winner=0 turns=13 selects=119
  match 15 seat1: winner=1 turns=25 selects=168
  match 16 seat0: winner=0 turns=20 selects=162
  match 16 seat1: winner=1 turns=21 selects=116
  match 17 seat0: winner=0 turns=40 selects=168
  match 17 seat1: winner=1 turns=15 selects=157
  match 18 seat0: winner=1 turns=18 selects=171
  match 18 seat1: winner=1 turns=27 selects=143
  match 19 seat0: winner=0 turns=40 selects=142
  match 19 seat1: winner=1 turns=26 selects=169
  match 20 seat0: winner=0 turns=25 selects=164
  match 20 seat1: winner=1 turns=42 selects=160
  match 21 seat0: winner=0 turns=21 selects=170
  match 21 seat1: winner=1 turns=23 selects=197
  match 22 seat0: winner=0 turns=25 selects=131
  match 22 seat1: winner=1 turns=21 selects=158
  match 23 seat0: winner=0 turns=36 selects=205
  match 23 seat1: winner=1 turns=30 selects=119
  match 24 seat0: winner=0 turns=38 selects=232
  match 24 seat1: winner=1 turns=36 selects=170
  match 25 seat0: winner=0 turns=34 selects=176
  match 25 seat1: winner=1 turns=17 selects=130
  match 26 seat0: winner=0 turns=38 selects=182
  match 26 seat1: winner=1 turns=34 selects=163
  match 27 seat0: winner=1 turns=12 selects=129
  match 27 seat1: winner=0 turns=16 selects=168
  match 28 seat0: winner=0 turns=21 selects=123
  match 28 seat1: winner=1 turns=23 selects=161
  match 29 seat0: winner=0 turns=36 selects=151
  match 29 seat1: winner=1 turns=25 selects=158
  match 30 seat0: winner=1 turns=16 selects=176
  match 30 seat1: winner=1 turns=17 selects=153
  match 31 seat0: winner=0 turns=29 selects=195
  match 31 seat1: winner=1 turns=40 selects=121
  match 32 seat0: winner=0 turns=38 selects=174
  match 32 seat1: winner=0 turns=14 selects=167
  match 33 seat0: winner=0 turns=15 selects=76
  match 33 seat1: winner=1 turns=27 selects=159
  match 34 seat0: winner=0 turns=13 selects=142
  match 34 seat1: winner=1 turns=23 selects=131
  match 35 seat0: winner=0 turns=32 selects=190
  match 35 seat1: winner=1 turns=30 selects=187
  match 36 seat0: winner=0 turns=38 selects=170
  match 36 seat1: winner=1 turns=17 selects=118
  match 37 seat0: winner=0 turns=23 selects=131
  match 37 seat1: winner=1 turns=26 selects=168
  match 38 seat0: winner=0 turns=16 selects=124
  match 38 seat1: winner=1 turns=16 selects=119
  match 39 seat0: winner=0 turns=21 selects=150
  match 39 seat1: winner=0 turns=12 selects=128
  match 40 seat0: winner=0 turns=36 selects=197
  match 40 seat1: winner=0 turns=12 selects=157
  match 41 seat0: winner=0 turns=19 selects=154
  match 41 seat1: winner=1 turns=28 selects=166
  match 42 seat0: winner=0 turns=19 selects=126
  match 42 seat1: winner=1 turns=38 selects=196
  match 43 seat0: winner=0 turns=17 selects=146
  match 43 seat1: winner=1 turns=26 selects=188
  match 44 seat0: winner=0 turns=32 selects=177
  match 44 seat1: winner=1 turns=17 selects=175
  match 45 seat0: winner=0 turns=23 selects=180
  match 45 seat1: winner=1 turns=24 selects=182
  match 46 seat0: winner=0 turns=21 selects=150
  match 46 seat1: winner=1 turns=36 selects=174
  match 47 seat0: winner=0 turns=28 selects=186
  match 47 seat1: winner=0 turns=14 selects=156
  match 48 seat0: winner=0 turns=27 selects=167
  match 48 seat1: winner=1 turns=25 selects=163
  match 49 seat0: winner=0 turns=34 selects=199
  match 49 seat1: winner=1 turns=19 selects=95
  match 50 seat0: winner=0 turns=9 selects=69
  match 50 seat1: winner=1 turns=36 selects=196
  match 51 seat0: winner=0 turns=23 selects=129
  match 51 seat1: winner=1 turns=21 selects=152
  match 52 seat0: winner=0 turns=36 selects=158
  match 52 seat1: winner=1 turns=19 selects=95
  match 53 seat0: winner=0 turns=25 selects=144
  match 53 seat1: winner=1 turns=25 selects=208
  match 54 seat0: winner=0 turns=21 selects=181
  match 54 seat1: winner=1 turns=34 selects=189
  match 55 seat0: winner=0 turns=24 selects=144
  match 55 seat1: winner=1 turns=19 selects=112
  match 56 seat0: winner=0 turns=40 selects=179
  match 56 seat1: winner=1 turns=42 selects=159
  match 57 seat0: winner=0 turns=21 selects=119
  match 57 seat1: winner=1 turns=5 selects=40
  match 58 seat0: winner=0 turns=19 selects=145
  match 58 seat1: winner=1 turns=46 selects=177
  match 59 seat0: winner=0 turns=19 selects=120
  match 59 seat1: winner=1 turns=21 selects=172
  match 60 seat0: winner=0 turns=17 selects=164
  match 60 seat1: winner=1 turns=19 selects=143
  match 61 seat0: winner=1 turns=24 selects=222
  match 61 seat1: winner=1 turns=25 selects=163
  match 62 seat0: winner=0 turns=30 selects=170
  match 62 seat1: winner=1 turns=40 selects=172
  match 63 seat0: winner=0 turns=25 selects=178
  match 63 seat1: winner=1 turns=26 selects=134
  match 64 seat0: winner=0 turns=15 selects=109
  match 64 seat1: winner=1 turns=23 selects=134
  match 65 seat0: winner=0 turns=25 selects=168
  match 65 seat1: winner=1 turns=30 selects=135
  match 66 seat0: winner=0 turns=24 selects=197
  match 66 seat1: winner=1 turns=32 selects=182
  match 67 seat0: winner=0 turns=21 selects=169
  match 67 seat1: winner=1 turns=34 selects=145
  match 68 seat0: winner=0 turns=25 selects=180
  match 68 seat1: winner=1 turns=14 selects=132
  match 69 seat0: winner=0 turns=10 selects=95
  match 69 seat1: winner=0 turns=16 selects=170
  match 70 seat0: winner=0 turns=42 selects=208
  match 70 seat1: winner=1 turns=25 selects=125
  match 71 seat0: winner=0 turns=29 selects=191
  match 71 seat1: winner=1 turns=30 selects=159
  match 72 seat0: winner=0 turns=44 selects=251
  match 72 seat1: winner=1 turns=29 selects=188
  match 73 seat0: winner=0 turns=17 selects=142
  match 73 seat1: winner=1 turns=33 selects=173
  match 74 seat0: winner=0 turns=34 selects=180
  match 74 seat1: winner=1 turns=30 selects=193
  match 75 seat0: winner=0 turns=34 selects=181
  match 75 seat1: winner=1 turns=7 selects=56
  match 76 seat0: winner=1 turns=10 selects=122
  match 76 seat1: winner=1 turns=31 selects=197
  match 77 seat0: winner=0 turns=34 selects=184
  match 77 seat1: winner=1 turns=38 selects=179
  match 78 seat0: winner=0 turns=21 selects=166
  match 78 seat1: winner=1 turns=15 selects=126
  match 79 seat0: winner=0 turns=56 selects=166
  match 79 seat1: winner=1 turns=28 selects=170
  match 80 seat0: winner=0 turns=35 selects=155
  match 80 seat1: winner=1 turns=25 selects=146
  match 81 seat0: winner=0 turns=17 selects=109
  match 81 seat1: winner=1 turns=23 selects=162
  match 82 seat0: winner=1 turns=16 selects=182
  match 82 seat1: winner=1 turns=29 selects=162
  match 83 seat0: winner=0 turns=27 selects=182
  match 83 seat1: winner=1 turns=30 selects=137
  match 84 seat0: winner=1 turns=12 selects=139
  match 84 seat1: winner=1 turns=15 selects=105
  match 85 seat0: winner=1 turns=16 selects=186
  match 85 seat1: winner=1 turns=42 selects=175
  match 86 seat0: winner=0 turns=39 selects=191
  match 86 seat1: winner=1 turns=19 selects=186
  match 87 seat0: winner=0 turns=36 selects=184
  match 87 seat1: winner=1 turns=32 selects=145
  match 88 seat0: winner=0 turns=27 selects=163
  match 88 seat1: winner=1 turns=32 selects=136
  match 89 seat0: winner=0 turns=25 selects=218
  match 89 seat1: winner=0 turns=8 selects=64
  match 90 seat0: winner=0 turns=26 selects=160
  match 90 seat1: winner=1 turns=21 selects=149
  match 91 seat0: winner=0 turns=21 selects=163
  match 91 seat1: winner=1 turns=25 selects=184
  match 92 seat0: winner=0 turns=26 selects=179
  match 92 seat1: winner=1 turns=36 selects=205
  match 93 seat0: winner=0 turns=17 selects=111
  match 93 seat1: winner=1 turns=23 selects=172
  match 94 seat0: winner=0 turns=24 selects=174
  match 94 seat1: winner=1 turns=13 selects=101
  match 95 seat0: winner=0 turns=40 selects=154
