=== cru@crustle vs rule:v10,noS@lucario_v10 matches=250 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs rule:v10,noS@lucario_v10 [lucario_v10], 250 paired matches (500 games)...
  match 0 seat0: winner=0 turns=21 selects=153
  match 0 seat1: winner=1 turns=18 selects=127
  match 1 seat0: winner=1 turns=6 selects=76
  match 1 seat1: winner=0 turns=7 selects=61
  match 2 seat0: winner=0 turns=19 selects=151
  match 2 seat1: winner=0 turns=21 selects=154
  match 3 seat0: winner=0 turns=25 selects=134
  match 3 seat1: winner=1 turns=21 selects=103
  match 4 seat0: winner=1 turns=14 selects=122
  match 4 seat1: winner=1 turns=22 selects=156
  match 5 seat0: winner=1 turns=10 selects=121
  match 5 seat1: winner=0 turns=13 selects=123
  match 6 seat0: winner=0 turns=21 selects=139
  match 6 seat1: winner=1 turns=19 selects=133
  match 7 seat0: winner=1 turns=16 selects=142
  match 7 seat1: winner=1 turns=18 selects=125
  match 8 seat0: winner=0 turns=19 selects=85
  match 8 seat1: winner=0 turns=9 selects=103
  match 9 seat0: winner=0 turns=21 selects=129
  match 9 seat1: winner=1 turns=22 selects=158
  match 10 seat0: winner=0 turns=27 selects=152
  match 10 seat1: winner=0 turns=11 selects=117
  match 11 seat0: winner=0 turns=15 selects=120
  match 11 seat1: winner=1 turns=20 selects=147
  match 12 seat0: winner=1 turns=21 selects=141
  match 12 seat1: winner=0 turns=13 selects=124
  match 13 seat0: winner=0 turns=17 selects=122
  match 13 seat1: winner=0 turns=9 selects=95
  match 14 seat0: winner=0 turns=19 selects=165
  match 14 seat1: winner=0 turns=9 selects=97
  match 15 seat0: winner=0 turns=20 selects=123
  match 15 seat1: winner=1 turns=28 selects=191
  match 16 seat0: winner=0 turns=21 selects=147
  match 16 seat1: winner=0 turns=3 selects=46
  match 17 seat0: winner=1 turns=8 selects=89
  match 17 seat1: winner=1 turns=22 selects=159
  match 18 seat0: winner=1 turns=7 selects=80
  match 18 seat1: winner=1 turns=24 selects=175
  match 19 seat0: winner=1 turns=10 selects=100
  match 19 seat1: winner=0 turns=7 selects=70
  match 20 seat0: winner=1 turns=8 selects=94
  match 20 seat1: winner=0 turns=9 selects=110
  match 21 seat0: winner=0 turns=28 selects=163
  match 21 seat1: winner=0 turns=11 selects=109
  match 22 seat0: winner=0 turns=19 selects=133
  match 22 seat1: winner=0 turns=9 selects=100
  match 23 seat0: winner=0 turns=23 selects=163
  match 23 seat1: winner=0 turns=15 selects=133
  match 24 seat0: winner=1 turns=16 selects=127
  match 24 seat1: winner=0 turns=11 selects=101
  match 25 seat0: winner=1 turns=6 selects=40
  match 25 seat1: winner=1 turns=18 selects=101
  match 26 seat0: winner=0 turns=29 selects=182
  match 26 seat1: winner=1 turns=20 selects=139
  match 27 seat0: winner=0 turns=9 selects=50
  match 27 seat1: winner=1 turns=28 selects=184
  match 28 seat0: winner=0 turns=15 selects=103
  match 28 seat1: winner=1 turns=20 selects=113
  match 29 seat0: winner=1 turns=10 selects=98
  match 29 seat1: winner=1 turns=18 selects=137
  match 30 seat0: winner=0 turns=21 selects=128
  match 30 seat1: winner=0 turns=21 selects=156
  match 31 seat0: winner=1 turns=8 selects=90
  match 31 seat1: winner=1 turns=27 selects=190
  match 32 seat0: winner=1 turns=12 selects=113
  match 32 seat1: winner=0 turns=9 selects=81
  match 33 seat0: winner=1 turns=14 selects=119
  match 33 seat1: winner=1 turns=20 selects=106
  match 34 seat0: winner=0 turns=23 selects=161
