=== gar@cynthia_garchomp vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 0 seat0: winner=1 turns=13 selects=173
  match 0 seat1: winner=0 turns=15 selects=146
  match 1 seat0: winner=1 turns=8 selects=55
  match 1 seat1: winner=0 turns=15 selects=198
  match 2 seat0: winner=0 turns=13 selects=126
  match 2 seat1: winner=1 turns=12 selects=148
  match 3 seat0: winner=1 turns=18 selects=151
  match 3 seat1: winner=1 turns=14 selects=183
  match 4 seat0: winner=0 turns=15 selects=163
  match 4 seat1: winner=0 turns=9 selects=91
  match 5 seat0: winner=1 turns=12 selects=126
  match 5 seat1: winner=0 turns=7 selects=59
  match 6 seat0: winner=1 turns=14 selects=205
  match 6 seat1: winner=0 turns=11 selects=147
  match 7 seat0: winner=1 turns=10 selects=135
  match 7 seat1: winner=0 turns=11 selects=163
  match 8 seat0: winner=1 turns=12 selects=178
  match 8 seat1: winner=0 turns=13 selects=201
  match 9 seat0: winner=1 turns=12 selects=155
  match 9 seat1: winner=0 turns=11 selects=115
  match 10 seat0: winner=1 turns=18 selects=246
  match 10 seat1: winner=0 turns=11 selects=170
  match 11 seat0: winner=0 turns=13 selects=190
  match 11 seat1: winner=0 turns=13 selects=168
  match 12 seat0: winner=1 turns=12 selects=157
  match 12 seat1: winner=1 turns=16 selects=215
  match 13 seat0: winner=0 turns=13 selects=188
  match 13 seat1: winner=0 turns=15 selects=102
  match 14 seat0: winner=1 turns=11 selects=131
  match 14 seat1: winner=0 turns=11 selects=123
  match 15 seat0: winner=0 turns=15 selects=200
  match 15 seat1: winner=1 turns=14 selects=186
  match 16 seat0: winner=0 turns=15 selects=216
  match 16 seat1: winner=0 turns=13 selects=166
  match 17 seat0: winner=1 turns=12 selects=146
  match 17 seat1: winner=0 turns=11 selects=183
  match 18 seat0: winner=1 turns=14 selects=232
  match 18 seat1: winner=0 turns=11 selects=163
  match 19 seat0: winner=0 turns=11 selects=160
  match 19 seat1: winner=1 turns=12 selects=156
