=== gar@cynthia_garchomp vs rule:alakazam5@alakazam5 matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 0 seat0: winner=0 turns=19 selects=162
  match 0 seat1: winner=1 turns=31 selects=168
  match 1 seat0: winner=0 turns=20 selects=204
  match 1 seat1: winner=0 turns=17 selects=156
  match 2 seat0: winner=0 turns=20 selects=189
  match 2 seat1: winner=1 turns=18 selects=171
  match 3 seat0: winner=0 turns=24 selects=169
  match 3 seat1: winner=0 turns=21 selects=177
  match 4 seat0: winner=0 turns=16 selects=174
  match 4 seat1: winner=1 turns=20 selects=169
  match 5 seat0: winner=0 turns=13 selects=147
  match 5 seat1: winner=1 turns=18 selects=179
  match 6 seat0: winner=0 turns=20 selects=172
  match 6 seat1: winner=1 turns=19 selects=164
  match 7 seat0: winner=0 turns=18 selects=170
  match 7 seat1: winner=0 turns=15 selects=180
  match 8 seat0: winner=1 turns=6 selects=52
  match 8 seat1: winner=0 turns=13 selects=132
  match 9 seat0: winner=1 turns=12 selects=137
  match 9 seat1: winner=0 turns=19 selects=211
  match 10 seat0: winner=0 turns=19 selects=173
  match 10 seat1: winner=0 turns=9 selects=132
  match 11 seat0: winner=0 turns=17 selects=179
  match 11 seat1: winner=1 turns=18 selects=161
  match 12 seat0: winner=1 turns=12 selects=167
  match 12 seat1: winner=0 turns=13 selects=129
  match 13 seat0: winner=0 turns=13 selects=179
  match 13 seat1: winner=1 turns=15 selects=138
  match 14 seat0: winner=0 turns=18 selects=184
  match 14 seat1: winner=0 turns=13 selects=93
  match 15 seat0: winner=1 turns=24 selects=160
  match 15 seat1: winner=1 turns=20 selects=192
  match 16 seat0: winner=0 turns=12 selects=129
  match 16 seat1: winner=0 turns=11 selects=144
  match 17 seat0: winner=0 turns=22 selects=195
  match 17 seat1: winner=0 turns=13 selects=162
  match 18 seat0: winner=1 turns=14 selects=156
  match 18 seat1: winner=0 turns=15 selects=186
  match 19 seat0: winner=1 turns=14 selects=157
  match 19 seat1: winner=1 turns=23 selects=162
  match 20 seat0: winner=0 turns=15 selects=150
  match 20 seat1: winner=1 turns=21 selects=172
  match 21 seat0: winner=0 turns=17 selects=125
  match 21 seat1: winner=1 turns=17 selects=130
  match 22 seat0: winner=1 turns=4 selects=30
  match 22 seat1: winner=0 turns=17 selects=127
  match 23 seat0: winner=1 turns=14 selects=164
  match 23 seat1: winner=1 turns=16 selects=173
  match 24 seat0: winner=0 turns=17 selects=202
  match 24 seat1: winner=1 turns=19 selects=119
  match 25 seat0: winner=0 turns=24 selects=164
  match 25 seat1: winner=0 turns=13 selects=119
  match 26 seat0: winner=0 turns=18 selects=187
  match 26 seat1: winner=1 turns=20 selects=171
  match 27 seat0: winner=0 turns=19 selects=167
  match 27 seat1: winner=1 turns=20 selects=175
  match 28 seat0: winner=0 turns=15 selects=160
  match 28 seat1: winner=1 turns=23 selects=186
  match 29 seat0: winner=0 turns=4 selects=23
  match 29 seat1: winner=1 turns=18 selects=176
  match 30 seat0: winner=0 turns=17 selects=150
  match 30 seat1: winner=1 turns=20 selects=171
  match 31 seat0: winner=1 turns=14 selects=163
  match 31 seat1: winner=1 turns=15 selects=167
  match 32 seat0: winner=0 turns=26 selects=174
  match 32 seat1: winner=0 turns=15 selects=160
  match 33 seat0: winner=0 turns=20 selects=187
  match 33 seat1: winner=1 turns=14 selects=133
  match 34 seat0: winner=0 turns=17 selects=160
  match 34 seat1: winner=0 turns=15 selects=164
  match 35 seat0: winner=0 turns=15 selects=176
  match 35 seat1: winner=1 turns=15 selects=172
  match 36 seat0: winner=1 turns=18 selects=199
  match 36 seat1: winner=1 turns=19 selects=175
  match 37 seat0: winner=0 turns=21 selects=177
  match 37 seat1: winner=1 turns=16 selects=175
  match 38 seat0: winner=0 turns=18 selects=196
  match 38 seat1: winner=1 turns=21 selects=172
  match 39 seat0: winner=0 turns=17 selects=152
  match 39 seat1: winner=0 turns=13 selects=157
  match 40 seat0: winner=0 turns=21 selects=198
  match 40 seat1: winner=0 turns=11 selects=85
  match 41 seat0: winner=0 turns=10 selects=98
  match 41 seat1: winner=1 turns=18 selects=158
  match 42 seat0: winner=1 turns=14 selects=124
  match 42 seat1: winner=1 turns=20 selects=186
  match 43 seat0: winner=0 turns=34 selects=165
  match 43 seat1: winner=1 turns=23 selects=164
  match 44 seat0: winner=1 turns=18 selects=191
  match 44 seat1: winner=1 turns=18 selects=150
  match 45 seat0: winner=0 turns=18 selects=169
  match 45 seat1: winner=0 turns=13 selects=110
  match 46 seat0: winner=0 turns=13 selects=148
  match 46 seat1: winner=1 turns=14 selects=139
  match 47 seat0: winner=0 turns=18 selects=184
  match 47 seat1: winner=1 turns=20 selects=164
  match 48 seat0: winner=0 turns=15 selects=145
  match 48 seat1: winner=1 turns=38 selects=187
  match 49 seat0: winner=1 turns=16 selects=155
  match 49 seat1: winner=1 turns=18 selects=167
  match 50 seat0: winner=1 turns=14 selects=166
  match 50 seat1: winner=0 turns=11 selects=162
  match 51 seat0: winner=0 turns=13 selects=156
  match 51 seat1: winner=0 turns=13 selects=147
  match 52 seat0: winner=0 turns=17 selects=174
  match 52 seat1: winner=0 turns=13 selects=175
  match 53 seat0: winner=1 turns=10 selects=139
  match 53 seat1: winner=1 turns=14 selects=174
  match 54 seat0: winner=0 turns=18 selects=182
  match 54 seat1: winner=1 turns=21 selects=172
  match 55 seat0: winner=0 turns=17 selects=179
  match 55 seat1: winner=1 turns=21 selects=205
  match 56 seat0: winner=1 turns=14 selects=160
  match 56 seat1: winner=0 turns=11 selects=145
  match 57 seat0: winner=1 turns=16 selects=153
  match 57 seat1: winner=0 turns=11 selects=161
  match 58 seat0: winner=0 turns=20 selects=191
  match 58 seat1: winner=1 turns=6 selects=52
  match 59 seat0: winner=0 turns=17 selects=193
  match 59 seat1: winner=0 turns=13 selects=166
  match 60 seat0: winner=0 turns=5 selects=36
  match 60 seat1: winner=0 turns=15 selects=169
  match 61 seat0: winner=0 turns=13 selects=161
  match 61 seat1: winner=1 turns=18 selects=163
  match 62 seat0: winner=0 turns=25 selects=174
  match 62 seat1: winner=1 turns=18 selects=162
  match 63 seat0: winner=0 turns=17 selects=142
  match 63 seat1: winner=0 turns=13 selects=170
  match 64 seat0: winner=1 turns=18 selects=170
  match 64 seat1: winner=1 turns=20 selects=170
  match 65 seat0: winner=0 turns=16 selects=178
  match 65 seat1: winner=0 turns=13 selects=128
  match 66 seat0: winner=0 turns=26 selects=149
  match 66 seat1: winner=1 turns=18 selects=157
  match 67 seat0: winner=0 turns=15 selects=156
  match 67 seat1: winner=0 turns=11 selects=129
  match 68 seat0: winner=0 turns=15 selects=126
  match 68 seat1: winner=0 turns=17 selects=151
  match 69 seat0: winner=1 turns=12 selects=165
  match 69 seat1: winner=0 turns=13 selects=149
  match 70 seat0: winner=1 turns=16 selects=190
  match 70 seat1: winner=0 turns=11 selects=138
  match 71 seat0: winner=1 turns=12 selects=160
  match 71 seat1: winner=0 turns=11 selects=122
  match 72 seat0: winner=1 turns=10 selects=130
  match 72 seat1: winner=1 turns=21 selects=209
  match 73 seat0: winner=0 turns=21 selects=208
  match 73 seat1: winner=0 turns=25 selects=179
  match 74 seat0: winner=0 turns=25 selects=178
  match 74 seat1: winner=0 turns=15 selects=153
  match 75 seat0: winner=0 turns=15 selects=154
  match 75 seat1: winner=0 turns=13 selects=158
  match 76 seat0: winner=0 turns=19 selects=168
  match 76 seat1: winner=0 turns=17 selects=163
  match 77 seat0: winner=1 turns=18 selects=168
  match 77 seat1: winner=0 turns=17 selects=164
  match 78 seat0: winner=1 turns=12 selects=112
  match 78 seat1: winner=0 turns=15 selects=132
  match 79 seat0: winner=0 turns=15 selects=175
  match 79 seat1: winner=1 turns=19 selects=175
  match 80 seat0: winner=0 turns=26 selects=219
  match 80 seat1: winner=1 turns=16 selects=153
  match 81 seat0: winner=0 turns=17 selects=166
  match 81 seat1: winner=0 turns=11 selects=144
  match 82 seat0: winner=1 turns=16 selects=201
  match 82 seat1: winner=0 turns=19 selects=186
  match 83 seat0: winner=0 turns=17 selects=136
  match 83 seat1: winner=1 turns=16 selects=186
  match 84 seat0: winner=1 turns=12 selects=141
  match 84 seat1: winner=1 turns=16 selects=173
  match 85 seat0: winner=0 turns=20 selects=176
  match 85 seat1: winner=1 turns=16 selects=160
  match 86 seat0: winner=0 turns=16 selects=187
  match 86 seat1: winner=1 turns=13 selects=165
