=== gar@cynthia_garchomp vs rule:archaludon@archaludon_ex matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 0 seat0: winner=0 turns=5 selects=43
  match 0 seat1: winner=0 turns=12 selects=89
  match 1 seat0: winner=1 turns=10 selects=107
  match 1 seat1: winner=0 turns=20 selects=146
  match 2 seat0: winner=0 turns=13 selects=128
  match 2 seat1: winner=0 turns=12 selects=110
  match 3 seat0: winner=1 turns=16 selects=159
  match 3 seat1: winner=0 turns=12 selects=120
  match 4 seat0: winner=1 turns=12 selects=108
  match 4 seat1: winner=0 turns=14 selects=143
  match 5 seat0: winner=0 turns=15 selects=139
  match 5 seat1: winner=0 turns=16 selects=168
  match 6 seat0: winner=1 turns=14 selects=135
  match 6 seat1: winner=0 turns=16 selects=176
  match 7 seat0: winner=1 turns=6 selects=55
  match 7 seat1: winner=0 turns=16 selects=125
  match 8 seat0: winner=1 turns=14 selects=94
  match 8 seat1: winner=0 turns=14 selects=133
  match 9 seat0: winner=1 turns=14 selects=150
  match 9 seat1: winner=1 turns=13 selects=141
  match 10 seat0: winner=0 turns=7 selects=86
  match 10 seat1: winner=0 turns=14 selects=126
  match 11 seat0: winner=0 turns=11 selects=83
  match 11 seat1: winner=1 turns=15 selects=140
  match 12 seat0: winner=0 turns=17 selects=146
  match 12 seat1: winner=1 turns=15 selects=154
  match 13 seat0: winner=1 turns=6 selects=52
  match 13 seat1: winner=0 turns=14 selects=156
  match 14 seat0: winner=1 turns=16 selects=120
  match 14 seat1: winner=0 turns=10 selects=127
  match 15 seat0: winner=1 turns=14 selects=154
  match 15 seat1: winner=0 turns=34 selects=223
  match 16 seat0: winner=1 turns=6 selects=51
  match 16 seat1: winner=0 turns=14 selects=130
  match 17 seat0: winner=1 turns=14 selects=153
  match 17 seat1: winner=0 turns=16 selects=153
  match 18 seat0: winner=1 turns=16 selects=148
  match 18 seat1: winner=1 turns=17 selects=164
  match 19 seat0: winner=1 turns=18 selects=184
  match 19 seat1: winner=0 turns=12 selects=143
  match 20 seat0: winner=1 turns=16 selects=162
  match 20 seat1: winner=0 turns=18 selects=159
  match 21 seat0: winner=1 turns=14 selects=103
  match 21 seat1: winner=0 turns=18 selects=161
  match 22 seat0: winner=1 turns=14 selects=150
  match 22 seat1: winner=0 turns=14 selects=146
  match 23 seat0: winner=1 turns=16 selects=169
  match 23 seat1: winner=0 turns=14 selects=170
  match 24 seat0: winner=1 turns=4 selects=31
  match 24 seat1: winner=1 turns=15 selects=166
  match 25 seat0: winner=0 turns=17 selects=173
  match 25 seat1: winner=0 turns=32 selects=191
  match 26 seat0: winner=0 turns=13 selects=135
  match 26 seat1: winner=1 turns=15 selects=93
  match 27 seat0: winner=0 turns=15 selects=174
  match 27 seat1: winner=1 turns=17 selects=143
  match 28 seat0: winner=1 turns=18 selects=145
  match 28 seat1: winner=1 turns=13 selects=147
  match 29 seat0: winner=1 turns=14 selects=151
  match 29 seat1: winner=0 turns=14 selects=154
  match 30 seat0: winner=1 turns=14 selects=149
  match 30 seat1: winner=0 turns=24 selects=186
  match 31 seat0: winner=1 turns=8 selects=66
  match 31 seat1: winner=0 turns=18 selects=116
  match 32 seat0: winner=0 turns=13 selects=121
  match 32 seat1: winner=0 turns=16 selects=157
  match 33 seat0: winner=1 turns=16 selects=142
  match 33 seat1: winner=1 turns=47 selects=216
  match 34 seat0: winner=0 turns=15 selects=149
  match 34 seat1: winner=0 turns=14 selects=126
  match 35 seat0: winner=1 turns=16 selects=165
  match 35 seat1: winner=1 turns=13 selects=77
  match 36 seat0: winner=1 turns=18 selects=180
  match 36 seat1: winner=0 turns=14 selects=178
  match 37 seat0: winner=1 turns=16 selects=163
  match 37 seat1: winner=1 turns=15 selects=146
  match 38 seat0: winner=0 turns=17 selects=155
  match 38 seat1: winner=1 turns=21 selects=176
  match 39 seat0: winner=1 turns=30 selects=177
  match 39 seat1: winner=1 turns=17 selects=155
  match 40 seat0: winner=0 turns=11 selects=134
  match 40 seat1: winner=0 turns=12 selects=107
  match 41 seat0: winner=0 turns=15 selects=146
  match 41 seat1: winner=0 turns=14 selects=136
  match 42 seat0: winner=0 turns=13 selects=127
  match 42 seat1: winner=1 turns=15 selects=130
  match 43 seat0: winner=1 turns=12 selects=132
  match 43 seat1: winner=0 turns=16 selects=158
  match 44 seat0: winner=0 turns=15 selects=131
  match 44 seat1: winner=1 turns=11 selects=100
  match 45 seat0: winner=1 turns=16 selects=187
  match 45 seat1: winner=1 turns=15 selects=164
  match 46 seat0: winner=1 turns=16 selects=137
  match 46 seat1: winner=0 turns=18 selects=152
  match 47 seat0: winner=0 turns=15 selects=128
  match 47 seat1: winner=1 turns=13 selects=165
  match 48 seat0: winner=0 turns=13 selects=127
  match 48 seat1: winner=0 turns=14 selects=143
  match 49 seat0: winner=1 turns=20 selects=176
  match 49 seat1: winner=0 turns=16 selects=139
  match 50 seat0: winner=1 turns=14 selects=137
  match 50 seat1: winner=0 turns=12 selects=132
  match 51 seat0: winner=0 turns=17 selects=143
  match 51 seat1: winner=0 turns=16 selects=186
  match 52 seat0: winner=1 turns=18 selects=174
  match 52 seat1: winner=0 turns=20 selects=185
  match 53 seat0: winner=0 turns=17 selects=151
  match 53 seat1: winner=1 turns=17 selects=129
  match 54 seat0: winner=0 turns=17 selects=146
  match 54 seat1: winner=0 turns=18 selects=153
  match 55 seat0: winner=1 turns=20 selects=152
  match 55 seat1: winner=1 turns=15 selects=153
  match 56 seat0: winner=1 turns=12 selects=140
  match 56 seat1: winner=1 turns=15 selects=150
  match 57 seat0: winner=1 turns=16 selects=184
  match 57 seat1: winner=1 turns=19 selects=150
  match 58 seat0: winner=1 turns=20 selects=167
  match 58 seat1: winner=1 turns=19 selects=160
  match 59 seat0: winner=0 turns=15 selects=148
  match 59 seat1: winner=1 turns=13 selects=155
  match 60 seat0: winner=0 turns=15 selects=129
  match 60 seat1: winner=0 turns=16 selects=166
  match 61 seat0: winner=1 turns=10 selects=116
  match 61 seat1: winner=1 turns=17 selects=148
  match 62 seat0: winner=1 turns=18 selects=175
  match 62 seat1: winner=0 turns=14 selects=144
  match 63 seat0: winner=1 turns=16 selects=159
  match 63 seat1: winner=0 turns=18 selects=177
  match 64 seat0: winner=0 turns=17 selects=149
  match 64 seat1: winner=0 turns=12 selects=145
  match 65 seat0: winner=0 turns=13 selects=150
  match 65 seat1: winner=0 turns=20 selects=189
  match 66 seat0: winner=0 turns=15 selects=132
  match 66 seat1: winner=1 turns=15 selects=168
  match 67 seat0: winner=0 turns=15 selects=164
  match 67 seat1: winner=0 turns=12 selects=133
  match 68 seat0: winner=0 turns=17 selects=159
  match 68 seat1: winner=0 turns=14 selects=143
  match 69 seat0: winner=1 turns=12 selects=129
  match 69 seat1: winner=0 turns=18 selects=180
  match 70 seat0: winner=0 turns=17 selects=155
  match 70 seat1: winner=0 turns=12 selects=129
  match 71 seat0: winner=1 turns=14 selects=139
  match 71 seat1: winner=1 turns=25 selects=168
  match 72 seat0: winner=1 turns=20 selects=159
  match 72 seat1: winner=0 turns=14 selects=131
  match 73 seat0: winner=1 turns=14 selects=145
  match 73 seat1: winner=0 turns=20 selects=160
  match 74 seat0: winner=1 turns=16 selects=138
  match 74 seat1: winner=1 turns=13 selects=128
  match 75 seat0: winner=0 turns=15 selects=123
  match 75 seat1: winner=0 turns=14 selects=143
  match 76 seat0: winner=1 turns=2 selects=21
  match 76 seat1: winner=1 turns=13 selects=152
  match 77 seat0: winner=1 turns=16 selects=154
  match 77 seat1: winner=0 turns=14 selects=124
  match 78 seat0: winner=1 turns=20 selects=172
  match 78 seat1: winner=0 turns=14 selects=81
  match 79 seat0: winner=1 turns=12 selects=89
  match 79 seat1: winner=0 turns=14 selects=117
  match 80 seat0: winner=1 turns=14 selects=157
  match 80 seat1: winner=1 turns=15 selects=109
  match 81 seat0: winner=0 turns=17 selects=122
  match 81 seat1: winner=0 turns=20 selects=177
  match 82 seat0: winner=0 turns=13 selects=116
  match 82 seat1: winner=0 turns=16 selects=173
  match 83 seat0: winner=0 turns=19 selects=161
  match 83 seat1: winner=0 turns=16 selects=101
  match 84 seat0: winner=0 turns=9 selects=105
  match 84 seat1: winner=1 turns=21 selects=108
  match 85 seat0: winner=1 turns=8 selects=40
  match 85 seat1: winner=1 turns=15 selects=164
  match 86 seat0: winner=1 turns=18 selects=162
  match 86 seat1: winner=1 turns=17 selects=148
  match 87 seat0: winner=1 turns=14 selects=159
  match 87 seat1: winner=0 turns=12 selects=142
  match 88 seat0: winner=0 turns=21 selects=194
  match 88 seat1: winner=1 turns=15 selects=138
  match 89 seat0: winner=1 turns=14 selects=170
  match 89 seat1: winner=1 turns=17 selects=149
  match 90 seat0: winner=0 turns=19 selects=165
  match 90 seat1: winner=0 turns=14 selects=81
  match 91 seat0: winner=1 turns=12 selects=101
  match 91 seat1: winner=1 turns=25 selects=207
  match 92 seat0: winner=0 turns=11 selects=75
  match 92 seat1: winner=0 turns=16 selects=168
  match 93 seat0: winner=1 turns=14 selects=166
