=== luc@lucario_v10 vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
⚠ p100_luc_lucario_v10_vs_bcall_grimmsnarl.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eaa27-06cd8f; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 0 seat0: winner=0 turns=11 selects=118
  match 0 seat1: winner=1 turns=4 selects=38
  match 1 seat0: winner=1 turns=10 selects=135
  match 1 seat1: winner=1 turns=2 selects=22
  match 2 seat0: winner=1 turns=10 selects=129
  match 2 seat1: winner=1 turns=16 selects=151
  match 3 seat0: winner=1 turns=18 selects=160
  match 3 seat1: winner=0 turns=13 selects=129
  match 4 seat0: winner=0 turns=13 selects=136
  match 4 seat1: winner=0 turns=3 selects=38
  match 5 seat0: winner=1 turns=12 selects=125
  match 5 seat1: winner=1 turns=12 selects=151
  match 6 seat0: winner=1 turns=10 selects=152
  match 6 seat1: winner=0 turns=13 selects=167
  match 7 seat0: winner=0 turns=13 selects=130
  match 7 seat1: winner=0 turns=11 selects=132
  match 8 seat0: winner=1 turns=8 selects=82
  match 8 seat1: winner=1 turns=12 selects=152
  match 9 seat0: winner=1 turns=10 selects=171
  match 9 seat1: winner=0 turns=15 selects=123
  match 10 seat0: winner=0 turns=11 selects=143
  match 10 seat1: winner=0 turns=13 selects=140
  match 11 seat0: winner=0 turns=3 selects=27
  match 11 seat1: winner=0 turns=11 selects=123
  match 12 seat0: winner=1 turns=16 selects=213
  match 12 seat1: winner=0 turns=11 selects=157
  match 13 seat0: winner=0 turns=13 selects=143
  match 13 seat1: winner=0 turns=11 selects=121
  match 14 seat0: winner=0 turns=13 selects=171
  match 14 seat1: winner=0 turns=9 selects=103
  match 15 seat0: winner=0 turns=13 selects=107
  match 15 seat1: winner=0 turns=7 selects=108
  match 16 seat0: winner=1 turns=10 selects=117
  match 16 seat1: winner=0 turns=13 selects=165
  match 17 seat0: winner=1 turns=10 selects=103
  match 17 seat1: winner=0 turns=13 selects=193
  match 18 seat0: winner=1 turns=10 selects=150
  match 18 seat1: winner=0 turns=9 selects=79
  match 19 seat0: winner=1 turns=10 selects=140
  match 19 seat1: winner=0 turns=13 selects=190
  match 20 seat0: winner=1 turns=10 selects=98
  match 20 seat1: winner=0 turns=11 selects=147
  match 21 seat0: winner=1 turns=12 selects=175
  match 21 seat1: winner=0 turns=3 selects=28
  match 22 seat0: winner=1 turns=14 selects=187
  match 22 seat1: winner=0 turns=13 selects=190
  match 23 seat0: winner=0 turns=13 selects=184
  match 23 seat1: winner=1 turns=12 selects=155
  match 24 seat0: winner=1 turns=16 selects=167
