=== luc@lucario_v10 vs rule:archaludon@archaludon_ex matches=200 ===
⚠ p100_luc_lucario_v10_vs_rulearchaludon_archaludon_ex.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea951-852a13; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 0 seat0: winner=1 turns=14 selects=142
  match 0 seat1: winner=1 turns=15 selects=113
  match 1 seat0: winner=1 turns=14 selects=128
  match 1 seat1: winner=0 turns=12 selects=135
  match 2 seat0: winner=0 turns=19 selects=177
  match 2 seat1: winner=0 turns=12 selects=135
  match 3 seat0: winner=1 turns=8 selects=94
  match 3 seat1: winner=0 turns=20 selects=146
  match 4 seat0: winner=0 turns=3 selects=43
  match 4 seat1: winner=1 turns=3 selects=39
  match 5 seat0: winner=0 turns=13 selects=100
  match 5 seat1: winner=0 turns=12 selects=130
  match 6 seat0: winner=0 turns=17 selects=107
  match 6 seat1: winner=0 turns=10 selects=124
  match 7 seat0: winner=1 turns=14 selects=132
  match 7 seat1: winner=1 turns=11 selects=120
  match 8 seat0: winner=0 turns=3 selects=39
  match 8 seat1: winner=0 turns=11 selects=128
  match 9 seat0: winner=0 turns=17 selects=171
  match 9 seat1: winner=0 turns=6 selects=49
  match 10 seat0: winner=1 turns=18 selects=165
  match 10 seat1: winner=0 turns=14 selects=136
  match 11 seat0: winner=0 turns=13 selects=128
  match 11 seat1: winner=0 turns=14 selects=141
  match 12 seat0: winner=1 turns=16 selects=161
  match 12 seat1: winner=0 turns=14 selects=126
  match 13 seat0: winner=0 turns=15 selects=167
  match 13 seat1: winner=0 turns=12 selects=138
  match 14 seat0: winner=1 turns=20 selects=124
  match 14 seat1: winner=1 turns=13 selects=103
  match 15 seat0: winner=1 turns=16 selects=146
  match 15 seat1: winner=0 turns=12 selects=140
  match 16 seat0: winner=1 turns=11 selects=109
  match 16 seat1: winner=1 turns=15 selects=131
  match 17 seat0: winner=1 turns=14 selects=140
  match 17 seat1: winner=0 turns=10 selects=90
  match 18 seat0: winner=1 turns=12 selects=75
  match 18 seat1: winner=0 turns=10 selects=88
  match 19 seat0: winner=0 turns=11 selects=81
  match 19 seat1: winner=1 turns=5 selects=37
  match 20 seat0: winner=0 turns=5 selects=61
  match 20 seat1: winner=1 turns=3 selects=31
  match 21 seat0: winner=1 turns=10 selects=120
  match 21 seat1: winner=0 turns=12 selects=140
  match 22 seat0: winner=1 turns=8 selects=100
  match 22 seat1: winner=0 turns=12 selects=133
  match 23 seat0: winner=1 turns=12 selects=128
  match 23 seat1: winner=1 turns=13 selects=146
  match 24 seat0: winner=1 turns=12 selects=130
  match 24 seat1: winner=0 turns=12 selects=133
  match 25 seat0: winner=1 turns=12 selects=144
  match 25 seat1: winner=0 turns=12 selects=125
  match 26 seat0: winner=1 turns=12 selects=94
  match 26 seat1: winner=1 turns=7 selects=58
  match 27 seat0: winner=1 turns=15 selects=146
  match 27 seat1: winner=1 turns=15 selects=133
  match 28 seat0: winner=0 turns=15 selects=114
  match 28 seat1: winner=1 turns=17 selects=114
  match 29 seat0: winner=0 turns=11 selects=84
  match 29 seat1: winner=0 turns=12 selects=138
  match 30 seat0: winner=0 turns=15 selects=90
  match 30 seat1: winner=1 turns=7 selects=49
  match 31 seat0: winner=1 turns=12 selects=93
  match 31 seat1: winner=1 turns=11 selects=85
  match 32 seat0: winner=1 turns=10 selects=127
  match 32 seat1: winner=0 turns=14 selects=133
  match 33 seat0: winner=1 turns=12 selects=110
  match 33 seat1: winner=0 turns=12 selects=129
  match 34 seat0: winner=1 turns=12 selects=136
  match 34 seat1: winner=0 turns=16 selects=145
  match 35 seat0: winner=0 turns=3 selects=12
  match 35 seat1: winner=0 turns=10 selects=110
  match 36 seat0: winner=0 turns=5 selects=63
  match 36 seat1: winner=1 turns=5 selects=52
  match 37 seat0: winner=1 turns=12 selects=130
  match 37 seat1: winner=0 turns=12 selects=140
  match 38 seat0: winner=1 turns=16 selects=120
  match 38 seat1: winner=0 turns=10 selects=111
  match 39 seat0: winner=1 turns=16 selects=131
  match 39 seat1: winner=1 turns=17 selects=105
  match 40 seat0: winner=0 turns=23 selects=144
  match 40 seat1: winner=0 turns=16 selects=148
  match 41 seat0: winner=0 turns=11 selects=58
  match 41 seat1: winner=0 turns=20 selects=167
  match 42 seat0: winner=1 turns=18 selects=82
  match 42 seat1: winner=0 turns=8 selects=114
  match 43 seat0: winner=1 turns=17 selects=135
  match 43 seat1: winner=0 turns=14 selects=129
  match 44 seat0: winner=0 turns=5 selects=63
  match 44 seat1: winner=1 turns=9 selects=98
  match 45 seat0: winner=1 turns=12 selects=139
  match 45 seat1: winner=1 turns=13 selects=145
  match 46 seat0: winner=1 turns=10 selects=117
  match 46 seat1: winner=0 turns=15 selects=124
  match 47 seat0: winner=1 turns=12 selects=128
  match 47 seat1: winner=1 turns=21 selects=145
  match 48 seat0: winner=1 turns=16 selects=116
  match 48 seat1: winner=0 turns=12 selects=112
  match 49 seat0: winner=0 turns=15 selects=119
  match 49 seat1: winner=1 turns=11 selects=92
  match 50 seat0: winner=1 turns=14 selects=119
  match 50 seat1: winner=0 turns=14 selects=148
  match 51 seat0: winner=0 turns=3 selects=25
  match 51 seat1: winner=1 turns=13 selects=142
  match 52 seat0: winner=1 turns=12 selects=118
  match 52 seat1: winner=0 turns=14 selects=127
  match 53 seat0: winner=1 turns=10 selects=142
  match 53 seat1: winner=0 turns=12 selects=92
  match 54 seat0: winner=0 turns=13 selects=103
  match 54 seat1: winner=1 turns=15 selects=108
  match 55 seat0: winner=0 turns=13 selects=82
  match 55 seat1: winner=1 turns=15 selects=117
  match 56 seat0: winner=1 turns=12 selects=129
  match 56 seat1: winner=0 turns=12 selects=124
  match 57 seat0: winner=1 turns=13 selects=122
  match 57 seat1: winner=0 turns=12 selects=111
  match 58 seat0: winner=0 turns=17 selects=147
  match 58 seat1: winner=0 turns=8 selects=101
  match 59 seat0: winner=1 turns=10 selects=108
  match 59 seat1: winner=0 turns=12 selects=122
  match 60 seat0: winner=1 turns=16 selects=127
  match 60 seat1: winner=1 turns=13 selects=147
  match 61 seat0: winner=1 turns=10 selects=117
  match 61 seat1: winner=0 turns=14 selects=136
  match 62 seat0: winner=1 turns=18 selects=170
  match 62 seat1: winner=1 turns=13 selects=128
  match 63 seat0: winner=1 turns=12 selects=123
  match 63 seat1: winner=0 turns=10 selects=74
  match 64 seat0: winner=1 turns=14 selects=137
  match 64 seat1: winner=0 turns=8 selects=92
  match 65 seat0: winner=0 turns=15 selects=97
  match 65 seat1: winner=0 turns=14 selects=161
  match 66 seat0: winner=1 turns=14 selects=158
  match 66 seat1: winner=1 turns=5 selects=51
  match 67 seat0: winner=1 turns=14 selects=121
  match 67 seat1: winner=0 turns=12 selects=102
  match 68 seat0: winner=0 turns=13 selects=75
  match 68 seat1: winner=0 turns=12 selects=91
  match 69 seat0: winner=1 turns=10 selects=125
  match 69 seat1: winner=0 turns=12 selects=140
  match 70 seat0: winner=1 turns=14 selects=136
  match 70 seat1: winner=1 turns=15 selects=157
  match 71 seat0: winner=1 turns=16 selects=164
  match 71 seat1: winner=0 turns=10 selects=97
  match 72 seat0: winner=1 turns=10 selects=94
  match 72 seat1: winner=0 turns=14 selects=136
  match 73 seat0: winner=1 turns=8 selects=90
  match 73 seat1: winner=1 turns=17 selects=103
  match 74 seat0: winner=1 turns=14 selects=122
  match 74 seat1: winner=0 turns=12 selects=117
  match 75 seat0: winner=0 turns=13 selects=121
  match 75 seat1: winner=1 turns=7 selects=77
  match 76 seat0: winner=1 turns=14 selects=155
  match 76 seat1: winner=0 turns=10 selects=119
  match 77 seat0: winner=1 turns=12 selects=115
  match 77 seat1: winner=0 turns=12 selects=134
  match 78 seat0: winner=1 turns=14 selects=130
  match 78 seat1: winner=0 turns=14 selects=145
  match 79 seat0: winner=0 turns=7 selects=57
  match 79 seat1: winner=1 turns=5 selects=59
  match 80 seat0: winner=0 turns=13 selects=111
  match 80 seat1: winner=0 turns=10 selects=130
  match 81 seat0: winner=1 turns=12 selects=155
  match 81 seat1: winner=1 turns=15 selects=132
  match 82 seat0: winner=1 turns=12 selects=151
  match 82 seat1: winner=0 turns=12 selects=119
  match 83 seat0: winner=0 turns=7 selects=74
  match 83 seat1: winner=1 turns=13 selects=114
  match 84 seat0: winner=1 turns=14 selects=124
  match 84 seat1: winner=0 turns=14 selects=150
  match 85 seat0: winner=1 turns=10 selects=126
  match 85 seat1: winner=0 turns=8 selects=105
  match 86 seat0: winner=1 turns=12 selects=88
  match 86 seat1: winner=0 turns=12 selects=138
  match 87 seat0: winner=0 turns=7 selects=50
  match 87 seat1: winner=1 turns=13 selects=93
  match 88 seat0: winner=0 turns=5 selects=42
  match 88 seat1: winner=0 turns=11 selects=118
  match 89 seat0: winner=0 turns=11 selects=115
  match 89 seat1: winner=1 turns=15 selects=112
  match 90 seat0: winner=0 turns=19 selects=150
  match 90 seat1: winner=1 turns=17 selects=173
  match 91 seat0: winner=1 turns=16 selects=101
  match 91 seat1: winner=1 turns=3 selects=41
  match 92 seat0: winner=1 turns=12 selects=117
  match 92 seat1: winner=0 turns=12 selects=117
  match 93 seat0: winner=1 turns=12 selects=142
  match 93 seat1: winner=0 turns=14 selects=160
  match 94 seat0: winner=1 turns=13 selects=135
  match 94 seat1: winner=0 turns=14 selects=107
  match 95 seat0: winner=1 turns=16 selects=157
  match 95 seat1: winner=1 turns=13 selects=157
  match 96 seat0: winner=1 turns=12 selects=108
  match 96 seat1: winner=1 turns=11 selects=92
  match 97 seat0: winner=1 turns=10 selects=137
  match 97 seat1: winner=0 turns=12 selects=131
  match 98 seat0: winner=0 turns=11 selects=93
  match 98 seat1: winner=0 turns=22 selects=150
  match 99 seat0: winner=1 turns=16 selects=124
  match 99 seat1: winner=0 turns=14 selects=127
  match 100 seat0: winner=1 turns=10 selects=107
  match 100 seat1: winner=1 turns=9 selects=86
  match 101 seat0: winner=0 turns=15 selects=110
  match 101 seat1: winner=1 turns=17 selects=136
  match 102 seat0: winner=1 turns=14 selects=150
  match 102 seat1: winner=0 turns=14 selects=134
  match 103 seat0: winner=1 turns=12 selects=119
  match 103 seat1: winner=0 turns=16 selects=122
  match 104 seat0: winner=1 turns=12 selects=137
  match 104 seat1: winner=0 turns=12 selects=133
  match 105 seat0: winner=1 turns=8 selects=107
  match 105 seat1: winner=0 turns=12 selects=122
  match 106 seat0: winner=1 turns=12 selects=124
  match 106 seat1: winner=0 turns=14 selects=160
  match 107 seat0: winner=1 turns=10 selects=111
  match 107 seat1: winner=0 turns=12 selects=105
  match 108 seat0: winner=1 turns=12 selects=140
  match 108 seat1: winner=0 turns=14 selects=119
  match 109 seat0: winner=1 turns=15 selects=117
  match 109 seat1: winner=0 turns=12 selects=107
  match 110 seat0: winner=1 turns=16 selects=175
  match 110 seat1: winner=0 turns=8 selects=82
  match 111 seat0: winner=1 turns=16 selects=154
  match 111 seat1: winner=0 turns=14 selects=142
  match 112 seat0: winner=1 turns=14 selects=151
  match 112 seat1: winner=1 turns=11 selects=124
  match 113 seat0: winner=1 turns=10 selects=95
  match 113 seat1: winner=1 turns=17 selects=155
  match 114 seat0: winner=1 turns=16 selects=136
  match 114 seat1: winner=0 turns=10 selects=98
  match 115 seat0: winner=0 turns=15 selects=155
  match 115 seat1: winner=0 turns=12 selects=108
  match 116 seat0: winner=1 turns=12 selects=120
  match 116 seat1: winner=1 turns=9 selects=97
  match 117 seat0: winner=1 turns=12 selects=78
  match 117 seat1: winner=0 turns=8 selects=81
  match 118 seat0: winner=1 turns=12 selects=65
  match 118 seat1: winner=0 turns=12 selects=107
  match 119 seat0: winner=1 turns=12 selects=129
  match 119 seat1: winner=1 turns=15 selects=146
  match 120 seat0: winner=0 turns=3 selects=36
  match 120 seat1: winner=0 turns=16 selects=128
  match 121 seat0: winner=1 turns=14 selects=145
  match 121 seat1: winner=0 turns=14 selects=132
  match 122 seat0: winner=1 turns=14 selects=130
  match 122 seat1: winner=0 turns=14 selects=130
  match 123 seat0: winner=1 turns=10 selects=118
  match 123 seat1: winner=1 turns=13 selects=88
  match 124 seat0: winner=1 turns=12 selects=121
  match 124 seat1: winner=1 turns=11 selects=73
  match 125 seat0: winner=1 turns=14 selects=149
  match 125 seat1: winner=0 turns=12 selects=104
  match 126 seat0: winner=0 turns=17 selects=151
  match 126 seat1: winner=1 turns=3 selects=14
  match 127 seat0: winner=1 turns=14 selects=147
  match 127 seat1: winner=0 turns=10 selects=82
  match 128 seat0: winner=0 turns=13 selects=92
  match 128 seat1: winner=0 turns=12 selects=117
  match 129 seat0: winner=1 turns=12 selects=130
  match 129 seat1: winner=0 turns=14 selects=137
  match 130 seat0: winner=1 turns=12 selects=104
  match 130 seat1: winner=1 turns=7 selects=75
  match 131 seat0: winner=1 turns=10 selects=137
  match 131 seat1: winner=0 turns=12 selects=131
  match 132 seat0: winner=1 turns=14 selects=129
  match 132 seat1: winner=0 turns=12 selects=128
  match 133 seat0: winner=1 turns=10 selects=104
  match 133 seat1: winner=0 turns=10 selects=116
  match 134 seat0: winner=1 turns=10 selects=103
  match 134 seat1: winner=0 turns=12 selects=116
  match 135 seat0: winner=1 turns=20 selects=150
  match 135 seat1: winner=0 turns=16 selects=143
  match 136 seat0: winner=1 turns=8 selects=51
  match 136 seat1: winner=0 turns=8 selects=90
  match 137 seat0: winner=1 turns=12 selects=126
  match 137 seat1: winner=0 turns=12 selects=96
  match 138 seat0: winner=0 turns=11 selects=67
  match 138 seat1: winner=1 turns=11 selects=130
  match 139 seat0: winner=1 turns=10 selects=113
  match 139 seat1: winner=0 turns=16 selects=158
  match 140 seat0: winner=0 turns=13 selects=133
  match 140 seat1: winner=0 turns=10 selects=99
  match 141 seat0: winner=1 turns=12 selects=96
  match 141 seat1: winner=1 turns=11 selects=121
  match 142 seat0: winner=1 turns=6 selects=37
  match 142 seat1: winner=0 turns=12 selects=132
  match 143 seat0: winner=0 turns=17 selects=152
  match 143 seat1: winner=0 turns=14 selects=145
  match 144 seat0: winner=1 turns=16 selects=182
  match 144 seat1: winner=0 turns=14 selects=158
  match 145 seat0: winner=0 turns=3 selects=28
  match 145 seat1: winner=0 turns=12 selects=109
  match 146 seat0: winner=1 turns=14 selects=154
  match 146 seat1: winner=1 turns=17 selects=155
  match 147 seat0: winner=1 turns=12 selects=118
  match 147 seat1: winner=1 turns=11 selects=111
  match 148 seat0: winner=1 turns=8 selects=106
  match 148 seat1: winner=0 turns=8 selects=105
  match 149 seat0: winner=0 turns=3 selects=38
  match 149 seat1: winner=1 turns=13 selects=113
  match 150 seat0: winner=1 turns=15 selects=133
  match 150 seat1: winner=0 turns=12 selects=132
  match 151 seat0: winner=0 turns=3 selects=42
  match 151 seat1: winner=1 turns=17 selects=151
  match 152 seat0: winner=0 turns=13 selects=110
  match 152 seat1: winner=1 turns=5 selects=38
  match 153 seat0: winner=1 turns=12 selects=111
  match 153 seat1: winner=0 turns=12 selects=129
  match 154 seat0: winner=1 turns=8 selects=115
  match 154 seat1: winner=0 turns=10 selects=117
  match 155 seat0: winner=1 turns=12 selects=138
  match 155 seat1: winner=1 turns=7 selects=95
  match 156 seat0: winner=1 turns=10 selects=114
  match 156 seat1: winner=0 turns=14 selects=113
  match 157 seat0: winner=0 turns=5 selects=68
  match 157 seat1: winner=1 turns=11 selects=121
  match 158 seat0: winner=0 turns=3 selects=36
  match 158 seat1: winner=0 turns=12 selects=145
  match 159 seat0: winner=0 turns=11 selects=118
  match 159 seat1: winner=0 turns=12 selects=120
  match 160 seat0: winner=0 turns=11 selects=57
  match 160 seat1: winner=0 turns=12 selects=105
  match 161 seat0: winner=0 turns=9 selects=91
  match 161 seat1: winner=0 turns=10 selects=113
  match 162 seat0: winner=0 turns=11 selects=82
  match 162 seat1: winner=0 turns=12 selects=135
  match 163 seat0: winner=1 turns=14 selects=152
  match 163 seat1: winner=1 turns=11 selects=106
  match 164 seat0: winner=1 turns=12 selects=138
  match 164 seat1: winner=0 turns=12 selects=97
  match 165 seat0: winner=1 turns=10 selects=126
  match 165 seat1: winner=1 turns=11 selects=132
  match 166 seat0: winner=1 turns=14 selects=109
  match 166 seat1: winner=1 turns=17 selects=131
