=== luc@lucario_v10 vs rule:crustle@crustle_v1 matches=200 ===
⚠ p100_luc_lucario_v10_vs_rulecrustle_crustle_v1.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea8e4-31b603; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 0 seat0: winner=1 turns=11 selects=81
  match 0 seat1: winner=1 turns=9 selects=71
  match 1 seat0: winner=0 turns=11 selects=87
  match 1 seat1: winner=0 turns=23 selects=152
  match 2 seat0: winner=0 turns=11 selects=77
  match 2 seat1: winner=0 turns=23 selects=138
  match 3 seat0: winner=1 turns=13 selects=101
  match 3 seat1: winner=1 turns=13 selects=102
  match 4 seat0: winner=1 turns=17 selects=119
  match 4 seat1: winner=0 turns=17 selects=103
  match 5 seat0: winner=1 turns=22 selects=140
  match 5 seat1: winner=0 turns=17 selects=96
  match 6 seat0: winner=1 turns=15 selects=101
  match 6 seat1: winner=1 turns=11 selects=83
  match 7 seat0: winner=1 turns=26 selects=166
  match 7 seat1: winner=1 turns=9 selects=83
  match 8 seat0: winner=1 turns=23 selects=135
  match 8 seat1: winner=1 turns=19 selects=105
  match 9 seat0: winner=1 turns=19 selects=114
  match 9 seat1: winner=0 turns=24 selects=154
  match 10 seat0: winner=0 turns=9 selects=50
  match 10 seat1: winner=1 turns=17 selects=109
  match 11 seat0: winner=1 turns=26 selects=130
  match 11 seat1: winner=0 turns=17 selects=120
  match 12 seat0: winner=1 turns=23 selects=149
  match 12 seat1: winner=0 turns=21 selects=100
  match 13 seat0: winner=0 turns=13 selects=90
  match 13 seat1: winner=0 turns=19 selects=130
  match 14 seat0: winner=0 turns=7 selects=58
  match 14 seat1: winner=0 turns=13 selects=95
  match 15 seat0: winner=0 turns=15 selects=72
  match 15 seat1: winner=1 turns=9 selects=78
  match 16 seat0: winner=0 turns=9 selects=78
  match 16 seat1: winner=1 turns=11 selects=71
  match 17 seat0: winner=0 turns=7 selects=65
  match 17 seat1: winner=0 turns=13 selects=81
  match 18 seat0: winner=0 turns=3 selects=18
  match 18 seat1: winner=1 turns=17 selects=111
  match 19 seat0: winner=0 turns=13 selects=94
  match 19 seat1: winner=1 turns=7 selects=68
  match 20 seat0: winner=0 turns=13 selects=92
  match 20 seat1: winner=1 turns=11 selects=85
  match 21 seat0: winner=1 turns=21 selects=149
  match 21 seat1: winner=0 turns=21 selects=137
  match 22 seat0: winner=1 turns=17 selects=126
  match 22 seat1: winner=1 turns=7 selects=55
  match 23 seat0: winner=1 turns=35 selects=184
  match 23 seat1: winner=0 turns=21 selects=137
  match 24 seat0: winner=0 turns=15 selects=89
  match 24 seat1: winner=0 turns=19 selects=141
  match 25 seat0: winner=0 turns=11 selects=84
  match 25 seat1: winner=1 turns=17 selects=134
  match 26 seat0: winner=0 turns=5 selects=40
  match 26 seat1: winner=0 turns=19 selects=114
  match 27 seat0: winner=1 turns=19 selects=127
  match 27 seat1: winner=1 turns=11 selects=81
  match 28 seat0: winner=1 turns=23 selects=157
  match 28 seat1: winner=1 turns=9 selects=67
  match 29 seat0: winner=1 turns=27 selects=144
  match 29 seat1: winner=0 turns=17 selects=111
  match 30 seat0: winner=1 turns=15 selects=103
  match 30 seat1: winner=1 turns=9 selects=70
  match 31 seat0: winner=0 turns=17 selects=110
  match 31 seat1: winner=0 turns=21 selects=135
  match 32 seat0: winner=1 turns=23 selects=126
  match 32 seat1: winner=0 turns=17 selects=118
  match 33 seat0: winner=1 turns=22 selects=142
  match 33 seat1: winner=0 turns=17 selects=112
  match 34 seat0: winner=0 turns=23 selects=171
  match 34 seat1: winner=1 turns=21 selects=119
  match 35 seat0: winner=1 turns=21 selects=128
  match 35 seat1: winner=0 turns=20 selects=112
  match 36 seat0: winner=1 turns=17 selects=108
  match 36 seat1: winner=0 turns=25 selects=149
  match 37 seat0: winner=0 turns=11 selects=76
  match 37 seat1: winner=1 turns=5 selects=35
  match 38 seat0: winner=1 turns=21 selects=120
  match 38 seat1: winner=0 turns=26 selects=127
  match 39 seat0: winner=1 turns=23 selects=152
  match 39 seat1: winner=0 turns=21 selects=149
  match 40 seat0: winner=0 turns=17 selects=114
  match 40 seat1: winner=0 turns=16 selects=64
  match 41 seat0: winner=0 turns=9 selects=75
  match 41 seat1: winner=1 turns=11 selects=87
  match 42 seat0: winner=0 turns=19 selects=125
  match 42 seat1: winner=0 turns=24 selects=163
  match 43 seat0: winner=1 turns=17 selects=128
  match 43 seat1: winner=0 turns=23 selects=154
  match 44 seat0: winner=0 turns=13 selects=100
  match 44 seat1: winner=1 turns=13 selects=93
  match 45 seat0: winner=1 turns=24 selects=135
  match 45 seat1: winner=0 turns=15 selects=107
  match 46 seat0: winner=0 turns=11 selects=79
  match 46 seat1: winner=1 turns=9 selects=63
  match 47 seat0: winner=0 turns=13 selects=94
  match 47 seat1: winner=1 turns=11 selects=77
  match 48 seat0: winner=1 turns=17 selects=123
  match 48 seat1: winner=0 turns=17 selects=120
  match 49 seat0: winner=1 turns=19 selects=124
  match 49 seat1: winner=0 turns=14 selects=48
  match 50 seat0: winner=1 turns=23 selects=129
  match 50 seat1: winner=1 turns=13 selects=103
  match 51 seat0: winner=0 turns=21 selects=132
  match 51 seat1: winner=0 turns=11 selects=85
  match 52 seat0: winner=1 turns=19 selects=133
  match 52 seat1: winner=1 turns=5 selects=50
  match 53 seat0: winner=1 turns=21 selects=134
  match 53 seat1: winner=1 turns=15 selects=91
  match 54 seat0: winner=1 turns=21 selects=147
  match 54 seat1: winner=0 turns=19 selects=129
  match 55 seat0: winner=1 turns=17 selects=129
  match 55 seat1: winner=0 turns=22 selects=131
  match 56 seat0: winner=1 turns=20 selects=109
