=== luc@lucario_v10 vs rule:v10,noS@lucario_v10 matches=250 ===
⚠ p100_luc_lucario_v10_vs_rulev10_lucario_v10.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea898-ed660f; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:v10,noS@lucario_v10 [lucario_v10], 250 paired matches (500 games)...
  match 0 seat0: winner=0 turns=11 selects=128
  match 0 seat1: winner=0 turns=15 selects=151
  match 1 seat0: winner=0 turns=11 selects=153
  match 1 seat1: winner=1 turns=10 selects=115
  match 2 seat0: winner=1 turns=12 selects=142
  match 2 seat1: winner=0 turns=13 selects=152
  match 3 seat0: winner=0 turns=11 selects=137
  match 3 seat1: winner=1 turns=8 selects=36
  match 4 seat0: winner=0 turns=11 selects=141
  match 4 seat1: winner=0 turns=13 selects=156
  match 5 seat0: winner=1 turns=12 selects=137
  match 5 seat1: winner=0 turns=15 selects=178
  match 6 seat0: winner=0 turns=11 selects=105
  match 6 seat1: winner=0 turns=11 selects=113
  match 7 seat0: winner=0 turns=11 selects=116
  match 7 seat1: winner=0 turns=16 selects=167
  match 8 seat0: winner=0 turns=13 selects=115
  match 8 seat1: winner=0 turns=9 selects=122
  match 9 seat0: winner=1 turns=12 selects=135
  match 9 seat1: winner=1 turns=12 selects=164
  match 10 seat0: winner=0 turns=19 selects=133
  match 10 seat1: winner=1 turns=16 selects=165
  match 11 seat0: winner=1 turns=11 selects=118
  match 11 seat1: winner=0 turns=13 selects=153
  match 12 seat0: winner=0 turns=11 selects=139
  match 12 seat1: winner=1 turns=14 selects=145
  match 13 seat0: winner=0 turns=13 selects=124
  match 13 seat1: winner=0 turns=15 selects=181
  match 14 seat0: winner=1 turns=12 selects=119
  match 14 seat1: winner=0 turns=11 selects=158
  match 15 seat0: winner=0 turns=11 selects=149
  match 15 seat1: winner=1 turns=12 selects=90
  match 16 seat0: winner=1 turns=14 selects=139
  match 16 seat1: winner=1 turns=14 selects=159
  match 17 seat0: winner=1 turns=10 selects=139
  match 17 seat1: winner=0 turns=13 selects=141
  match 18 seat0: winner=1 turns=10 selects=131
  match 18 seat1: winner=1 turns=12 selects=152
  match 19 seat0: winner=0 turns=13 selects=168
  match 19 seat1: winner=1 turns=12 selects=147
  match 20 seat0: winner=0 turns=11 selects=126
  match 20 seat1: winner=0 turns=11 selects=158
  match 21 seat0: winner=1 turns=12 selects=114
  match 21 seat1: winner=0 turns=11 selects=144
  match 22 seat0: winner=1 turns=10 selects=136
  match 22 seat1: winner=0 turns=11 selects=125
