=== oger@teal_mask_ogerpon vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_bcall_grimmsnarl.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eae3c-9ae6f7; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 0 seat0: winner=0 turns=9 selects=112
  match 0 seat1: winner=1 turns=10 selects=154
  match 1 seat0: winner=0 turns=11 selects=130
  match 1 seat1: winner=1 turns=10 selects=164
  match 2 seat0: winner=0 turns=11 selects=120
  match 2 seat1: winner=1 turns=12 selects=126
  match 3 seat0: winner=0 turns=9 selects=119
  match 3 seat1: winner=1 turns=10 selects=177
  match 4 seat0: winner=0 turns=9 selects=170
  match 4 seat1: winner=1 turns=14 selects=116
  match 5 seat0: winner=0 turns=11 selects=192
  match 5 seat1: winner=1 turns=12 selects=143
  match 6 seat0: winner=0 turns=9 selects=164
  match 6 seat1: winner=1 turns=10 selects=163
  match 7 seat0: winner=0 turns=9 selects=113
  match 7 seat1: winner=1 turns=12 selects=111
  match 8 seat0: winner=0 turns=11 selects=113
  match 8 seat1: winner=1 turns=10 selects=118
  match 9 seat0: winner=0 turns=7 selects=76
  match 9 seat1: winner=0 turns=11 selects=171
  match 10 seat0: winner=0 turns=11 selects=143
  match 10 seat1: winner=1 turns=10 selects=143
  match 11 seat0: winner=0 turns=11 selects=128
  match 11 seat1: winner=1 turns=12 selects=92
  match 12 seat0: winner=0 turns=11 selects=135
  match 12 seat1: winner=0 turns=13 selects=198
  match 13 seat0: winner=0 turns=11 selects=168
  match 13 seat1: winner=1 turns=16 selects=121
  match 14 seat0: winner=0 turns=13 selects=149
  match 14 seat1: winner=1 turns=10 selects=124
  match 15 seat0: winner=0 turns=9 selects=166
  match 15 seat1: winner=1 turns=14 selects=140
  match 16 seat0: winner=0 turns=11 selects=180
  match 16 seat1: winner=1 turns=10 selects=159
  match 17 seat0: winner=0 turns=13 selects=126
  match 17 seat1: winner=1 turns=12 selects=168
  match 18 seat0: winner=0 turns=11 selects=161
  match 18 seat1: winner=1 turns=10 selects=165
  match 19 seat0: winner=0 turns=11 selects=133
  match 19 seat1: winner=1 turns=10 selects=141
  match 20 seat0: winner=0 turns=9 selects=164
  match 20 seat1: winner=0 turns=11 selects=212
  match 21 seat0: winner=0 turns=11 selects=172
  match 21 seat1: winner=1 turns=12 selects=102
  match 22 seat0: winner=0 turns=9 selects=158
  match 22 seat1: winner=1 turns=10 selects=128
  match 23 seat0: winner=0 turns=9 selects=135
  match 23 seat1: winner=1 turns=10 selects=163
  match 24 seat0: winner=0 turns=9 selects=111
  match 24 seat1: winner=1 turns=8 selects=135
  match 25 seat0: winner=0 turns=9 selects=128
  match 25 seat1: winner=1 turns=10 selects=120
  match 26 seat0: winner=0 turns=9 selects=130
  match 26 seat1: winner=1 turns=12 selects=166
  match 27 seat0: winner=0 turns=9 selects=123
  match 27 seat1: winner=1 turns=12 selects=148
  match 28 seat0: winner=0 turns=11 selects=184
  match 28 seat1: winner=1 turns=10 selects=125
  match 29 seat0: winner=1 turns=10 selects=155
  match 29 seat1: winner=0 turns=9 selects=163
  match 30 seat0: winner=1 turns=12 selects=186
  match 30 seat1: winner=1 turns=14 selects=136
  match 31 seat0: winner=0 turns=9 selects=114
  match 31 seat1: winner=1 turns=8 selects=133
  match 32 seat0: winner=0 turns=9 selects=140
  match 32 seat1: winner=1 turns=10 selects=186
  match 33 seat0: winner=0 turns=9 selects=130
  match 33 seat1: winner=1 turns=12 selects=164
  match 34 seat0: winner=0 turns=9 selects=127
  match 34 seat1: winner=0 turns=9 selects=169
  match 35 seat0: winner=0 turns=9 selects=112
  match 35 seat1: winner=1 turns=8 selects=127
  match 36 seat0: winner=0 turns=11 selects=199
  match 36 seat1: winner=1 turns=8 selects=150
  match 37 seat0: winner=0 turns=9 selects=149
  match 37 seat1: winner=1 turns=10 selects=179
  match 38 seat0: winner=0 turns=9 selects=126
  match 38 seat1: winner=1 turns=12 selects=155
  match 39 seat0: winner=1 turns=8 selects=135
  match 39 seat1: winner=1 turns=10 selects=138
  match 40 seat0: winner=0 turns=9 selects=156
  match 40 seat1: winner=1 turns=12 selects=166
  match 41 seat0: winner=0 turns=11 selects=102
  match 41 seat1: winner=1 turns=12 selects=101
  match 42 seat0: winner=0 turns=11 selects=109
  match 42 seat1: winner=0 turns=5 selects=70
  match 43 seat0: winner=0 turns=9 selects=126
  match 43 seat1: winner=0 turns=9 selects=142
  match 44 seat0: winner=0 turns=11 selects=142
  match 44 seat1: winner=1 turns=10 selects=130
  match 45 seat0: winner=0 turns=9 selects=137
  match 45 seat1: winner=1 turns=12 selects=164
  match 46 seat0: winner=0 turns=9 selects=158
  match 46 seat1: winner=1 turns=10 selects=141
  match 47 seat0: winner=0 turns=9 selects=122
  match 47 seat1: winner=1 turns=8 selects=129
  match 48 seat0: winner=1 turns=8 selects=150
  match 48 seat1: winner=1 turns=8 selects=122
  match 49 seat0: winner=0 turns=13 selects=112
  match 49 seat1: winner=1 turns=10 selects=119
