=== oger@teal_mask_ogerpon vs rule:alakazam5@alakazam5 matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulealakazam5_alakazam5.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eacf9-3bebdb; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 0 seat0: winner=0 turns=13 selects=151
  match 0 seat1: winner=1 turns=14 selects=159
  match 1 seat0: winner=0 turns=13 selects=142
  match 1 seat1: winner=1 turns=14 selects=191
  match 2 seat0: winner=0 turns=13 selects=156
  match 2 seat1: winner=1 turns=14 selects=150
  match 3 seat0: winner=0 turns=13 selects=161
  match 3 seat1: winner=1 turns=14 selects=180
  match 4 seat0: winner=0 turns=13 selects=186
  match 4 seat1: winner=0 turns=5 selects=58
  match 5 seat0: winner=0 turns=13 selects=180
  match 5 seat1: winner=1 turns=14 selects=162
  match 6 seat0: winner=0 turns=13 selects=76
  match 6 seat1: winner=0 turns=11 selects=168
  match 7 seat0: winner=1 turns=6 selects=81
  match 7 seat1: winner=1 turns=14 selects=176
  match 8 seat0: winner=0 turns=11 selects=166
  match 8 seat1: winner=1 turns=4 selects=41
  match 9 seat0: winner=0 turns=13 selects=178
  match 9 seat1: winner=1 turns=14 selects=175
  match 10 seat0: winner=0 turns=13 selects=156
  match 10 seat1: winner=1 turns=14 selects=130
  match 11 seat0: winner=0 turns=13 selects=140
  match 11 seat1: winner=1 turns=14 selects=131
  match 12 seat0: winner=0 turns=13 selects=166
  match 12 seat1: winner=1 turns=14 selects=141
  match 13 seat0: winner=0 turns=13 selects=162
  match 13 seat1: winner=0 turns=13 selects=166
  match 14 seat0: winner=0 turns=13 selects=122
  match 14 seat1: winner=1 turns=14 selects=159
  match 15 seat0: winner=0 turns=13 selects=92
  match 15 seat1: winner=1 turns=14 selects=183
  match 16 seat0: winner=0 turns=13 selects=176
  match 16 seat1: winner=1 turns=12 selects=171
  match 17 seat0: winner=0 turns=13 selects=158
  match 17 seat1: winner=1 turns=14 selects=187
  match 18 seat0: winner=0 turns=13 selects=163
  match 18 seat1: winner=1 turns=14 selects=163
  match 19 seat0: winner=1 turns=10 selects=156
  match 19 seat1: winner=1 turns=14 selects=162
  match 20 seat0: winner=0 turns=15 selects=161
  match 20 seat1: winner=1 turns=12 selects=161
  match 21 seat0: winner=0 turns=13 selects=178
  match 21 seat1: winner=1 turns=14 selects=202
  match 22 seat0: winner=1 turns=14 selects=186
  match 22 seat1: winner=0 turns=7 selects=104
