=== oger@teal_mask_ogerpon vs rule:archaludon@archaludon_ex matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulearchaludon_archaludon_ex.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ead4a-21073c; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 0 seat0: winner=0 turns=13 selects=142
  match 0 seat1: winner=1 turns=11 selects=125
  match 1 seat0: winner=0 turns=17 selects=138
  match 1 seat1: winner=1 turns=15 selects=89
  match 2 seat0: winner=1 turns=10 selects=136
  match 2 seat1: winner=0 turns=8 selects=69
  match 3 seat0: winner=1 turns=14 selects=141
  match 3 seat1: winner=0 turns=10 selects=127
  match 4 seat0: winner=0 turns=15 selects=141
  match 4 seat1: winner=0 turns=10 selects=117
  match 5 seat0: winner=1 turns=10 selects=139
  match 5 seat1: winner=0 turns=10 selects=128
  match 6 seat0: winner=1 turns=10 selects=114
  match 6 seat1: winner=1 turns=13 selects=111
  match 7 seat0: winner=1 turns=14 selects=136
  match 7 seat1: winner=0 turns=12 selects=147
  match 8 seat0: winner=1 turns=6 selects=78
  match 8 seat1: winner=0 turns=12 selects=128
  match 9 seat0: winner=1 turns=10 selects=126
  match 9 seat1: winner=1 turns=11 selects=139
  match 10 seat0: winner=0 turns=13 selects=123
  match 10 seat1: winner=0 turns=10 selects=118
  match 11 seat0: winner=0 turns=13 selects=119
  match 11 seat1: winner=0 turns=6 selects=84
  match 12 seat0: winner=0 turns=11 selects=72
  match 12 seat1: winner=0 turns=12 selects=163
  match 13 seat0: winner=1 turns=4 selects=51
  match 13 seat1: winner=0 turns=6 selects=71
  match 14 seat0: winner=1 turns=14 selects=144
  match 14 seat1: winner=1 turns=15 selects=145
  match 15 seat0: winner=0 turns=13 selects=156
  match 15 seat1: winner=1 turns=11 selects=165
  match 16 seat0: winner=1 turns=8 selects=100
  match 16 seat1: winner=0 turns=12 selects=131
  match 17 seat0: winner=1 turns=4 selects=46
  match 17 seat1: winner=1 turns=3 selects=42
  match 18 seat0: winner=0 turns=7 selects=74
  match 18 seat1: winner=0 turns=12 selects=146
  match 19 seat0: winner=0 turns=11 selects=72
  match 19 seat1: winner=0 turns=12 selects=144
  match 20 seat0: winner=0 turns=13 selects=141
  match 20 seat1: winner=0 turns=10 selects=139
  match 21 seat0: winner=0 turns=3 selects=33
  match 21 seat1: winner=0 turns=10 selects=127
  match 22 seat0: winner=0 turns=15 selects=119
  match 22 seat1: winner=0 turns=4 selects=47
  match 23 seat0: winner=1 turns=8 selects=111
  match 23 seat1: winner=1 turns=13 selects=142
  match 24 seat0: winner=1 turns=10 selects=104
  match 24 seat1: winner=0 turns=4 selects=53
  match 25 seat0: winner=1 turns=10 selects=142
  match 25 seat1: winner=0 turns=12 selects=132
  match 26 seat0: winner=0 turns=11 selects=157
  match 26 seat1: winner=0 turns=8 selects=117
  match 27 seat0: winner=1 turns=8 selects=118
  match 27 seat1: winner=1 turns=11 selects=108
  match 28 seat0: winner=1 turns=6 selects=76
  match 28 seat1: winner=0 turns=8 selects=101
  match 29 seat0: winner=0 turns=11 selects=111
  match 29 seat1: winner=0 turns=8 selects=122
  match 30 seat0: winner=1 turns=6 selects=57
  match 30 seat1: winner=0 turns=12 selects=146
  match 31 seat0: winner=0 turns=15 selects=131
  match 31 seat1: winner=0 turns=12 selects=145
  match 32 seat0: winner=0 turns=13 selects=140
  match 32 seat1: winner=0 turns=12 selects=103
  match 33 seat0: winner=1 turns=12 selects=142
  match 33 seat1: winner=0 turns=4 selects=56
  match 34 seat0: winner=1 turns=10 selects=116
  match 34 seat1: winner=1 turns=13 selects=144
  match 35 seat0: winner=0 turns=13 selects=127
  match 35 seat1: winner=1 turns=11 selects=103
  match 36 seat0: winner=1 turns=12 selects=153
  match 36 seat1: winner=0 turns=12 selects=148
  match 37 seat0: winner=1 turns=10 selects=138
  match 37 seat1: winner=1 turns=13 selects=145
  match 38 seat0: winner=1 turns=14 selects=167
  match 38 seat1: winner=0 turns=8 selects=96
  match 39 seat0: winner=1 turns=8 selects=94
  match 39 seat1: winner=0 turns=16 selects=155
  match 40 seat0: winner=0 turns=11 selects=151
  match 40 seat1: winner=0 turns=8 selects=88
  match 41 seat0: winner=0 turns=13 selects=130
  match 41 seat1: winner=0 turns=6 selects=69
  match 42 seat0: winner=0 turns=7 selects=89
  match 42 seat1: winner=0 turns=10 selects=139
  match 43 seat0: winner=1 turns=10 selects=150
  match 43 seat1: winner=1 turns=13 selects=121
  match 44 seat0: winner=0 turns=13 selects=89
  match 44 seat1: winner=1 turns=13 selects=144
  match 45 seat0: winner=0 turns=15 selects=158
  match 45 seat1: winner=1 turns=11 selects=140
  match 46 seat0: winner=1 turns=12 selects=141
  match 46 seat1: winner=0 turns=4 selects=43
  match 47 seat0: winner=0 turns=13 selects=150
  match 47 seat1: winner=0 turns=10 selects=126
  match 48 seat0: winner=1 turns=14 selects=142
  match 48 seat1: winner=0 turns=10 selects=136
  match 49 seat0: winner=0 turns=17 selects=154
  match 49 seat1: winner=0 turns=14 selects=160
  match 50 seat0: winner=0 turns=7 selects=63
  match 50 seat1: winner=0 turns=10 selects=127
  match 51 seat0: winner=0 turns=7 selects=53
  match 51 seat1: winner=0 turns=12 selects=140
  match 52 seat0: winner=0 turns=13 selects=141
  match 52 seat1: winner=0 turns=10 selects=107
  match 53 seat0: winner=0 turns=11 selects=132
  match 53 seat1: winner=0 turns=8 selects=101
  match 54 seat0: winner=1 turns=10 selects=125
  match 54 seat1: winner=1 turns=9 selects=88
  match 55 seat0: winner=1 turns=8 selects=100
  match 55 seat1: winner=0 turns=6 selects=75
  match 56 seat0: winner=1 turns=8 selects=99
  match 56 seat1: winner=0 turns=12 selects=140
  match 57 seat0: winner=0 turns=3 selects=49
  match 57 seat1: winner=0 turns=4 selects=51
  match 58 seat0: winner=0 turns=13 selects=100
  match 58 seat1: winner=1 turns=13 selects=133
  match 59 seat0: winner=1 turns=10 selects=135
  match 59 seat1: winner=1 turns=5 selects=55
  match 60 seat0: winner=1 turns=10 selects=111
  match 60 seat1: winner=0 turns=10 selects=122
  match 61 seat0: winner=1 turns=8 selects=81
  match 61 seat1: winner=0 turns=12 selects=148
  match 62 seat0: winner=1 turns=10 selects=111
  match 62 seat1: winner=0 turns=8 selects=95
  match 63 seat0: winner=0 turns=13 selects=117
  match 63 seat1: winner=0 turns=10 selects=108
  match 64 seat0: winner=0 turns=15 selects=132
  match 64 seat1: winner=0 turns=10 selects=114
  match 65 seat0: winner=1 turns=4 selects=54
  match 65 seat1: winner=1 turns=11 selects=77
  match 66 seat0: winner=0 turns=11 selects=73
  match 66 seat1: winner=0 turns=10 selects=126
  match 67 seat0: winner=1 turns=10 selects=115
  match 67 seat1: winner=1 turns=9 selects=83
  match 68 seat0: winner=1 turns=14 selects=138
  match 68 seat1: winner=0 turns=14 selects=162
  match 69 seat0: winner=1 turns=10 selects=132
  match 69 seat1: winner=0 turns=4 selects=39
  match 70 seat0: winner=1 turns=12 selects=156
  match 70 seat1: winner=0 turns=10 selects=113
  match 71 seat0: winner=0 turns=11 selects=109
  match 71 seat1: winner=0 turns=12 selects=151
  match 72 seat0: winner=0 turns=3 selects=46
  match 72 seat1: winner=0 turns=8 selects=117
  match 73 seat0: winner=0 turns=15 selects=122
  match 73 seat1: winner=1 turns=13 selects=100
  match 74 seat0: winner=1 turns=12 selects=149
  match 74 seat1: winner=0 turns=6 selects=84
  match 75 seat0: winner=1 turns=10 selects=108
  match 75 seat1: winner=1 turns=5 selects=45
  match 76 seat0: winner=0 turns=7 selects=85
  match 76 seat1: winner=1 turns=11 selects=145
  match 77 seat0: winner=0 turns=15 selects=142
  match 77 seat1: winner=1 turns=11 selects=126
  match 78 seat0: winner=0 turns=15 selects=96
  match 78 seat1: winner=1 turns=11 selects=85
  match 79 seat0: winner=0 turns=11 selects=149
  match 79 seat1: winner=1 turns=11 selects=125
  match 80 seat0: winner=1 turns=8 selects=115
  match 80 seat1: winner=1 turns=9 selects=92
  match 81 seat0: winner=1 turns=10 selects=120
  match 81 seat1: winner=1 turns=17 selects=129
  match 82 seat0: winner=1 turns=10 selects=114
  match 82 seat1: winner=0 turns=10 selects=133
  match 83 seat0: winner=1 turns=10 selects=113
  match 83 seat1: winner=1 turns=11 selects=103
  match 84 seat0: winner=1 turns=10 selects=146
  match 84 seat1: winner=0 turns=10 selects=130
  match 85 seat0: winner=0 turns=11 selects=129
  match 85 seat1: winner=1 turns=13 selects=109
  match 86 seat0: winner=1 turns=10 selects=144
  match 86 seat1: winner=1 turns=13 selects=123
  match 87 seat0: winner=0 turns=13 selects=127
  match 87 seat1: winner=0 turns=8 selects=119
  match 88 seat0: winner=1 turns=10 selects=100
  match 88 seat1: winner=0 turns=12 selects=158
  match 89 seat0: winner=1 turns=4 selects=58
  match 89 seat1: winner=0 turns=10 selects=136
  match 90 seat0: winner=0 turns=15 selects=153
  match 90 seat1: winner=0 turns=10 selects=102
  match 91 seat0: winner=1 turns=14 selects=140
  match 91 seat1: winner=0 turns=16 selects=131
  match 92 seat0: winner=1 turns=6 selects=55
  match 92 seat1: winner=0 turns=8 selects=103
  match 93 seat0: winner=0 turns=11 selects=126
  match 93 seat1: winner=0 turns=10 selects=129
  match 94 seat0: winner=0 turns=3 selects=36
  match 94 seat1: winner=1 turns=11 selects=142
  match 95 seat0: winner=1 turns=12 selects=132
  match 95 seat1: winner=0 turns=12 selects=147
  match 96 seat0: winner=0 turns=11 selects=99
  match 96 seat1: winner=1 turns=13 selects=87
  match 97 seat0: winner=1 turns=8 selects=115
  match 97 seat1: winner=0 turns=4 selects=48
  match 98 seat0: winner=0 turns=15 selects=145
  match 98 seat1: winner=0 turns=10 selects=121
  match 99 seat0: winner=0 turns=13 selects=89
  match 99 seat1: winner=1 turns=11 selects=135
  match 100 seat0: winner=0 turns=11 selects=121
  match 100 seat1: winner=0 turns=10 selects=117
  match 101 seat0: winner=1 turns=12 selects=120
  match 101 seat1: winner=1 turns=3 selects=36
  match 102 seat0: winner=1 turns=8 selects=117
  match 102 seat1: winner=0 turns=4 selects=42
  match 103 seat0: winner=1 turns=10 selects=114
  match 103 seat1: winner=0 turns=10 selects=118
  match 104 seat0: winner=1 turns=8 selects=110
  match 104 seat1: winner=0 turns=10 selects=142
  match 105 seat0: winner=1 turns=10 selects=132
  match 105 seat1: winner=0 turns=12 selects=78
  match 106 seat0: winner=1 turns=10 selects=134
  match 106 seat1: winner=0 turns=12 selects=146
  match 107 seat0: winner=0 turns=11 selects=105
  match 107 seat1: winner=1 turns=15 selects=142
  match 108 seat0: winner=1 turns=12 selects=130
  match 108 seat1: winner=0 turns=10 selects=156
  match 109 seat0: winner=1 turns=14 selects=150
  match 109 seat1: winner=0 turns=10 selects=136
  match 110 seat0: winner=1 turns=10 selects=117
  match 110 seat1: winner=0 turns=12 selects=133
  match 111 seat0: winner=1 turns=10 selects=122
  match 111 seat1: winner=1 turns=11 selects=144
  match 112 seat0: winner=1 turns=8 selects=86
  match 112 seat1: winner=1 turns=13 selects=144
  match 113 seat0: winner=1 turns=8 selects=114
  match 113 seat1: winner=0 turns=14 selects=141
  match 114 seat0: winner=0 turns=15 selects=128
  match 114 seat1: winner=1 turns=13 selects=108
  match 115 seat0: winner=0 turns=11 selects=142
  match 115 seat1: winner=1 turns=9 selects=97
