=== oger@teal_mask_ogerpon vs rule:crustle@crustle_v1 matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulecrustle_crustle_v1.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eacae-a83f02; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 0 seat0: winner=1 turns=17 selects=117
  match 0 seat1: winner=0 turns=20 selects=129
  match 1 seat0: winner=1 turns=22 selects=125
  match 1 seat1: winner=0 turns=26 selects=133
  match 2 seat0: winner=1 turns=17 selects=114
  match 2 seat1: winner=0 turns=20 selects=132
  match 3 seat0: winner=1 turns=21 selects=140
  match 3 seat1: winner=0 turns=15 selects=118
  match 4 seat0: winner=1 turns=24 selects=151
  match 4 seat1: winner=0 turns=18 selects=122
  match 5 seat0: winner=1 turns=20 selects=127
  match 5 seat1: winner=0 turns=20 selects=133
  match 6 seat0: winner=0 turns=3 selects=24
  match 6 seat1: winner=0 turns=18 selects=135
  match 7 seat0: winner=1 turns=20 selects=137
  match 7 seat1: winner=0 turns=23 selects=129
  match 8 seat0: winner=1 turns=20 selects=125
  match 8 seat1: winner=0 turns=26 selects=122
  match 9 seat0: winner=1 turns=22 selects=138
  match 9 seat1: winner=0 turns=21 selects=124
  match 10 seat0: winner=1 turns=20 selects=135
  match 10 seat1: winner=0 turns=22 selects=138
  match 11 seat0: winner=1 turns=24 selects=133
  match 11 seat1: winner=0 turns=20 selects=135
  match 12 seat0: winner=1 turns=17 selects=123
  match 12 seat1: winner=0 turns=21 selects=136
  match 13 seat0: winner=1 turns=18 selects=127
  match 13 seat1: winner=0 turns=24 selects=144
  match 14 seat0: winner=1 turns=15 selects=125
  match 14 seat1: winner=0 turns=17 selects=117
  match 15 seat0: winner=1 turns=20 selects=125
  match 15 seat1: winner=0 turns=24 selects=136
  match 16 seat0: winner=1 turns=22 selects=127
  match 16 seat1: winner=0 turns=22 selects=122
  match 17 seat0: winner=1 turns=19 selects=120
  match 17 seat1: winner=0 turns=16 selects=109
  match 18 seat0: winner=1 turns=20 selects=132
  match 18 seat1: winner=0 turns=22 selects=127
  match 19 seat0: winner=1 turns=26 selects=128
  match 19 seat1: winner=0 turns=25 selects=131
  match 20 seat0: winner=1 turns=24 selects=127
  match 20 seat1: winner=0 turns=22 selects=117
  match 21 seat0: winner=1 turns=16 selects=117
  match 21 seat1: winner=0 turns=19 selects=113
  match 22 seat0: winner=1 turns=24 selects=123
