
net out/policy_b1_v3.npz vs artifacts/pds_grimm_ctrl_r on ALL rows
22768 single-choice rows, 22768 with a rated demonstrator (100.0%), 266 games

demonstrator rating       rows  games    top1          95% CI  random    miss
0-900                     1288     17   66.7%  [0.641, 0.692]   23.6%   33.3%
900-1000                  1879     24   75.0%  [0.730, 0.769]   25.2%   25.0%
1000-1050                 2740     33   75.1%  [0.734, 0.767]   25.3%   24.9%
1050-1100                 8915    105   76.1%  [0.752, 0.770]   25.0%   23.9%
1100-1150                 7946     87   70.9%  [0.699, 0.719]   25.1%   29.1%

(exposure read from out/logs/pds_v3r_seen.json: 66 trained-on demonstrators)

agreement vs how much of that demonstrator the net TRAINED on:
train rows seen           rows  teams  rating    top1
0 (unseen player)        22768     87  1063.4   73.6%

per demonstrator (>= 500 rows):
  rating    rows  games    seen    top1  demonstrator
  1052.7     542      7       0   80.4%  YuPengCao
  1060.6     749      8       0   79.8%  MtN
  1061.5     549      5       0   69.4%  ANDPAD kaggler team
  1075.8     507      6       0   77.3%  대답해드리는게인지상정
  1091.5     696      7       0   80.6%  haggle
  1091.7     635      7       0   71.8%  Pokemon Siuuuu
  1097.9     801     10       0   79.4%  カントー地方マスター(KantoRegionMaster)
  1101.8     574      6       0   80.0%  Pokemon Fan
  1101.9     615      6       0   71.4%  Dries @ Tufa Labs
  1104.1     686      8       0   76.2%  szlachetny snieg
  1116.4     776      9       0   67.7%  JZ
  1126.3    1097     12       0   68.3%  やる気元気ミワハルキ
  1127.6    1103     12       0   71.0%  LiamK
  1135.7    1582     17       0   70.6%  Dominic Peel
  1139.9     682      7       0   71.4%  @kdcyberdude
(15 demonstrators, 11594 of 22768 rated rows = 51%)

by SUBMISSION (the same team can be two different agents):
  submissionId   rating    rows  games    top1          95% CI
      54875820   1084.2      73      1   69.9%  [0.586, 0.792]
      54909502    490.0      71      1   36.6%  [0.264, 0.482]
      54973066   1053.9      76      1   68.4%  [0.573, 0.778]
      54973716    950.0     103      1   61.2%  [0.515, 0.700]
      54973765   1104.1     160      2   74.4%  [0.671, 0.805]
      54977294   1091.7     635      7   71.8%  [0.682, 0.752]
      54986389   1101.9     118      1   67.8%  [0.589, 0.756]
      54987869    957.9     100      1   67.0%  [0.573, 0.754]
      54996000   1061.9      92      1   79.3%  [0.700, 0.864]
      55002825   1101.9     100      1   77.0%  [0.678, 0.842]
      55006822    919.3      84      1   61.9%  [0.512, 0.716]
      55008978    806.8      68      1   69.1%  [0.574, 0.788]
      55011432   1053.9      65      1   67.7%  [0.556, 0.778]
      55011514   1127.6     428      5   70.8%  [0.663, 0.749]
      55012647    981.6      99      1   74.7%  [0.654, 0.823]
      55016148   1076.1     230      3   82.6%  [0.772, 0.870]
      55016893   1076.1      99      1   79.8%  [0.708, 0.865]
      55020735   1116.4     178      2   79.2%  [0.727, 0.845]
      55020954   1041.0     148      2   69.6%  [0.618, 0.764]
      55030760   1057.3     231      3   82.3%  [0.768, 0.866]
      55033184   1054.8      72      1   76.4%  [0.654, 0.847]
      55033201    907.3      98      1   84.7%  [0.763, 0.905]
      55034886   1051.4      57      1   66.7%  [0.537, 0.775]
      55035215   1099.1     173      2   73.4%  [0.664, 0.794]
      55035247   1099.1     164      2   67.1%  [0.596, 0.738]
      55040960   1104.1     526      6   76.8%  [0.730, 0.802]
      55043174   1032.2      90      1   74.4%  [0.646, 0.823]
      55046043    907.3     287      3   74.6%  [0.692, 0.793]
      55048647   1024.8     175      2   86.3%  [0.804, 0.906]
      55048808   1056.3      62      1   75.8%  [0.638, 0.848]
      55051742   1091.5     108      1   73.1%  [0.641, 0.806]
      55052676    889.2      67      2   65.7%  [0.537, 0.759]
      55054163   1094.6      63      1   60.3%  [0.480, 0.715]
      55056097   1076.5      97      1   69.1%  [0.593, 0.774]
      55056560   1047.3      91      1   70.3%  [0.603, 0.787]
      55058157   1041.0     339      4   74.3%  [0.694, 0.787]
      55058847   1134.0     458      6   68.1%  [0.637, 0.722]
      55059926   1059.6     268      3   73.9%  [0.683, 0.788]
      55064220   1073.3      87      1   70.1%  [0.598, 0.787]
      55064236   1073.3     178      2   66.3%  [0.591, 0.728]
      55065868    946.1      88      1   76.1%  [0.663, 0.838]
      55066737    848.7     114      1   59.6%  [0.505, 0.682]
      55068082    969.1      39      1   82.1%  [0.673, 0.910]
      55068185    884.9     226      3   77.0%  [0.711, 0.820]
